Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,100,0.200000,0.500000,Roulette,One point
,,,,Roulette sections,100,
,,,,Tournament members,2,
,,,,,,
1,60.000004,127.360001,568.289124,150.855453,54.614479,53.955448,56.418446,56.737495,78.889938,78.485229,79.432571,79.484390,30.610729,30.337660,30.674690,30.410053,<-18.267658 | 57.449028>,<-72.924515 | -36.995640>,<-22.238079 | 54.875904>,<-75.130722 | -35.963455>,<153.268555 | 153.268555>,<-0.241440 | -0.241440>,<158.119598 | 158.119598>,<-0.375549 | -0.375549>,<-159.609314 | -159.609314>,<-159.180496 | -159.180496>,<-141.611649 | -141.611649>,<-159.768021 | -159.768021>
2,54.000004,149.910004,577.442444,92.664978,55.601917,53.711758,56.208431,54.637085,79.203995,78.485229,79.918732,79.484390,30.610729,30.337660,30.674690,30.416824,<-12.803910 | 61.711143>,<-66.711853 | -32.828491>,<-19.218809 | 54.973297>,<-70.550583 | -30.946291>,<158.809235 | 158.809235>,<-0.046001 | -0.046001>,<158.119598 | 158.119598>,<-0.172920 | -0.172920>,<-143.308380 | -143.308380>,<-159.180496 | -159.180496>,<-145.773438 | -145.773438>,<-158.547623 | -158.547623>
3,45.000000,161.960007,579.216309,113.814316,56.359764,53.927574,58.129444,54.698540,79.608246,78.485229,79.999359,78.696213,30.864500,30.337660,30.674690,32.310539,<-21.844158 | 50.907055>,<-66.871468 | -33.548405>,<-13.628441 | 52.926708>,<-68.581024 | -33.917313>,<158.809235 | 158.809235>,<-0.046001 | -0.046001>,<150.021698 | 150.021698>,<-0.099243 | -0.099243>,<-148.969727 | -148.969727>,<-159.180496 | -159.180496>,<-134.259552 | -134.259552>,<-158.547623 | -158.547623>
4,40.000000,186.419998,583.362488,104.042206,56.516640,56.395519,57.730812,55.131447,79.968521,79.940094,79.999359,79.396347,30.072540,30.069523,31.049061,30.039085,<-18.292059 | 47.917431>,<-66.566040 | -31.117893>,<-14.689737 | 48.832382>,<-70.821777 | -33.524742>,<150.604736 | 150.604736>,<-0.214584 | -0.214584>,<145.245361 | 145.245361>,<-0.099243 | -0.099243>,<-153.928268 | -153.928268>,<-157.558289 | -157.558289>,<-147.241348 | -147.241348>,<-157.221451 | -157.221451>
5,33.000000,195.660004,498.346985,71.914093,54.938656,54.214622,56.771576,55.719204,79.968521,79.997749,79.999359,79.625870,30.072540,30.125336,31.205715,30.645906,<-5.286634 | 51.735741>,<-66.749100 | -31.809105>,<-11.963540 | 51.979893>,<-70.949341 | -33.683887>,<154.937714 | 154.937714>,<-0.888866 | -0.888866>,<145.245361 | 145.245361>,<-0.035545 | -0.035545>,<-112.226913 | -112.226913>,<-157.563965 | -157.563965>,<-157.374084 | -157.374084>,<-155.000000 | -155.000000>
6,45.000000,163.589996,522.476318,99.770065,50.490253,55.733265,55.046055,56.370419,79.968521,78.919823,79.999359,79.995941,30.072540,30.290953,30.951862,30.645906,<-15.308846 | 55.196095>,<-71.732849 | -32.144070>,<-14.414401 | 61.274555>,<-76.360100 | -40.211506>,<150.130951 | 150.130951>,<-0.066925 | -0.066925>,<159.238037 | 159.238037>,<-0.099243 | -0.099243>,<-159.071014 | -159.071014>,<-159.167831 | -159.167831>,<-159.955109 | -159.955109>,<-152.371201 | -152.371201>
7,43.000000,160.419998,476.256256,67.800865,51.476601,55.611618,54.064629,56.734543,79.991302,79.380707,79.266411,79.995941,30.072540,30.183893,30.672298,30.645906,<-22.709051 | 55.743397>,<-69.836411 | -34.889339>,<-13.873560 | 60.543209>,<-79.005257 | -39.818714>,<152.825256 | 152.825256>,<-0.066925 | -0.066925>,<159.540497 | 159.540497>,<-0.510803 | -0.510803>,<-159.692078 | -159.692078>,<-158.625000 | -158.625000>,<-159.955109 | -159.955109>,<-159.032822 | -159.032822>
8,45.000000,164.800003,493.010651,126.992409,55.889515,55.085381,50.807529,56.534168,79.991302,79.948303,78.874039,79.995941,31.145079,30.290953,30.345020,30.645906,<-18.100119 | 52.054825>,<-71.436104 | -34.727581>,<-3.631294 | 57.829132>,<-69.045990 | -32.922314>,<152.825256 | 152.825256>,<-0.362797 | -0.362797>,<159.540497 | 159.540497>,<-0.386734 | -0.386734>,<-153.146088 | -153.146088>,<-158.625000 | -158.625000>,<-159.955109 | -159.955109>,<-155.720856 | -155.720856>
9,43.000000,165.880005,498.232025,79.888710,53.120434,54.110283,55.364269,53.792339,78.855827,79.905487,79.145523,79.721848,30.222940,30.373152,30.876772,30.645906,<-8.307779 | 51.064030>,<-68.131622 | -37.541744>,<-12.206108 | 49.445499>,<-69.568665 | -33.690956>,<155.120911 | 155.120911>,<-0.356205 | -0.356205>,<151.505310 | 151.505310>,<-0.847164 | -0.847164>,<-153.144150 | -153.144150>,<-158.259644 | -158.259644>,<-138.501328 | -138.501328>,<-158.786270 | -158.786270>
10,44.000000,156.210007,533.463989,99.477280,55.833363,53.936703,53.399647,55.207253,78.855827,79.905487,78.874039,79.406090,30.454628,30.168787,30.645359,30.091566,<-15.447854 | 50.522064>,<-71.333649 | -38.567608>,<-6.219279 | 55.325497>,<-67.470268 | -31.287470>,<153.731720 | 153.731720>,<-0.491886 | -0.491886>,<157.777557 | 157.777557>,<-0.481064 | -0.481064>,<-151.411163 | -151.411163>,<-159.864792 | -159.864792>,<-156.637802 | -156.637802>,<-156.835556 | -156.835556>
