Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,58.999996,126.430000,450.298950,66.411392,55.834705,52.662334,55.852638,56.256729,79.669884,77.873192,79.774651,78.596527,30.742355,31.259506,32.130985,30.684675,<-19.348347 | 52.279453>,<-75.108574 | -38.812469>,<-26.105844 | 56.918961>,<-80.644035 | -40.586578>,<157.547272 | 157.547272>,<-0.081051 | -0.081051>,<153.680054 | 153.680054>,<-0.307175 | -0.307175>,<-159.255234 | -159.255234>,<-155.091599 | -155.091599>,<-152.814728 | -152.814728>,<-155.829163 | -155.829163>,<1.310509 | 24.103172>,<-36.599342 | -35.167923>,<16.188187 | 32.168068>,<-33.737125 | -6.126518>,47.599682,68.437195,35.575176,57.157043
2,51.000000,138.100006,518.755981,0.492188,57.235897,54.185165,57.926998,55.519867,79.318329,79.041565,79.947922,78.911354,30.237339,31.259506,35.575176,31.091679,<-10.145365 | 47.135265>,<-68.217140 | -34.081955>,<-21.205040 | 51.988514>,<-73.711647 | -35.193073>,<157.547272 | 157.547272>,<-0.081051 | -0.081051>,<153.680054 | 153.680054>,<-0.216803 | -0.216803>,<-159.255234 | -159.255234>,<-155.091599 | -155.091599>,<-148.414810 | -148.414810>,<-155.829163 | -155.829163>,<18.975491 | 21.145630>,<-7.083450 | -4.978352>,<10.762207 | 22.298466>,<-22.060486 | -15.182476>,44.299118,50.073677,78.298431,47.415539
3,43.000000,173.320007,519.456177,80.543900,56.194916,54.056480,58.231342,55.646408,79.218536,79.366341,79.947922,78.706268,30.188927,31.259506,35.575176,31.091679,<-1.283000 | 49.195015>,<-65.621071 | -33.828835>,<-9.537883 | 50.341019>,<-70.973244 | -38.749378>,<155.049225 | 155.049225>,<-0.081051 | -0.081051>,<158.459961 | 158.459961>,<-0.307175 | -0.307175>,<-115.464867 | -115.464867>,<-156.606964 | -156.606964>,<-146.630325 | -146.630325>,<-158.889175 | -158.889175>,<18.975491 | 21.145630>,<-7.083450 | -4.978352>,<10.762207 | 22.298466>,<-22.060486 | -15.182476>,44.299118,50.073677,78.298431,47.415539
4,27.000002,209.309998,520.100220,1.195449,56.858597,52.777645,58.363457,55.191826,79.645790,77.873192,79.947922,79.238007,30.064676,31.644424,35.575176,30.565292,<4.711485 | 45.295361>,<-57.073734 | -28.855122>,<-3.554198 | 42.679512>,<-63.736671 | -36.121395>,<155.049225 | 155.049225>,<-0.054170 | -0.054170>,<158.459961 | 158.459961>,<-0.284676 | -0.284676>,<-98.483101 | -98.483101>,<-157.517212 | -157.517212>,<-87.214844 | -87.214844>,<-158.889175 | -158.889175>,<18.975491 | 21.145630>,<-7.083450 | -4.978352>,<10.762207 | 22.298466>,<-22.060486 | -15.182476>,44.299118,50.073677,78.298431,47.415539
5,17.000000,224.080002,519.037842,0.469330,55.915714,51.244164,59.912930,56.266968,79.645790,77.659103,79.539139,79.238007,30.064676,31.644424,35.575176,30.565292,<5.105973 | 42.398026>,<-57.343334 | -31.395563>,<3.446599 | 44.764713>,<-63.139881 | -35.752567>,<155.049225 | 155.049225>,<-0.081051 | -0.081051>,<159.823471 | 159.823471>,<-0.307175 | -0.307175>,<-113.619957 | -113.619957>,<-157.517212 | -157.517212>,<-89.455246 | -89.455246>,<-159.495010 | -159.495010>,<18.975491 | 21.145630>,<-7.083450 | -4.978352>,<10.762207 | 22.298466>,<-22.060486 | -15.182476>,44.299118,50.073677,78.298431,47.415539
6,9.000000,250.839996,538.765686,122.658020,57.581234,52.135155,59.717655,56.060165,79.645790,77.563362,79.543556,79.238007,30.064676,30.285501,30.802553,30.198891,<9.094751 | 47.053379>,<-64.171082 | -36.357838>,<6.897438 | 44.960976>,<-69.167961 | -40.177811>,<155.168243 | 155.168243>,<-0.081051 | -0.081051>,<159.823471 | 159.823471>,<-0.307175 | -0.307175>,<-136.977234 | -136.977234>,<-158.189819 | -158.189819>,<-87.214844 | -87.214844>,<-159.695831 | -159.695831>,<14.616541 | 25.738819>,<-2.925689 | -1.508029>,<7.765145 | 11.205155>,<-19.840366 | -12.284839>,76.411743,45.246212,41.422173,55.260422
7,7.000000,255.910004,517.176208,20.543055,58.207363,52.381516,59.428280,56.434467,79.260895,79.782600,79.543556,79.756737,30.064676,30.285501,30.807405,30.565292,<11.432878 | 44.708813>,<-61.538334 | -34.716320>,<8.443884 | 46.045650>,<-71.214226 | -41.426197>,<155.168243 | 155.168243>,<-0.081051 | -0.081051>,<159.823471 | 159.823471>,<-0.307175 | -0.307175>,<-76.588165 | -76.588165>,<-158.296478 | -158.296478>,<-101.462227 | -101.462227>,<-159.695831 | -159.695831>,<18.975491 | 21.145630>,<-7.083450 | -4.978352>,<10.762207 | 22.298466>,<-22.060486 | -15.182476>,44.299118,50.073677,78.298431,47.415539
8,7.000000,266.140015,517.470032,13.496183,60.037090,55.577904,60.815060,56.199829,79.608467,79.782600,79.976181,79.756737,30.064676,30.285501,30.829857,30.426929,<15.199408 | 49.106922>,<-67.328842 | -39.024715>,<13.487273 | 49.820324>,<-74.982880 | -47.296421>,<155.168243 | 155.168243>,<-0.081051 | -0.081051>,<159.823471 | 159.823471>,<-0.307175 | -0.307175>,<-76.588165 | -76.588165>,<-158.296478 | -158.296478>,<-87.214844 | -87.214844>,<-159.936661 | -159.936661>,<18.975491 | 21.145630>,<-7.083450 | -4.978352>,<10.762207 | 22.298466>,<-22.060486 | -15.182476>,44.299118,50.073677,78.298431,47.415539
9,7.000000,286.980011,551.974487,157.862366,61.123516,57.021584,60.764950,58.406944,79.260895,79.782600,79.991394,79.793076,30.064676,30.285501,35.575176,30.565292,<19.004189 | 50.872608>,<-69.155647 | -39.875343>,<17.877008 | 50.942509>,<-78.365303 | -48.916534>,<157.439529 | 157.439529>,<-0.081051 | -0.081051>,<159.823471 | 159.823471>,<-0.307175 | -0.307175>,<-76.588165 | -76.588165>,<-158.435425 | -158.435425>,<-151.879471 | -151.879471>,<-159.998001 | -159.998001>,<19.087124 | 22.263113>,<-41.722549 | -39.055336>,<9.813077 | 22.217712>,<-22.851746 | -10.091036>,72.819931,33.533920,74.478912,32.485592
10,6.000000,293.170013,563.395264,0.088219,62.053398,55.353790,61.737694,59.376034,79.478004,79.782600,79.991394,79.903114,30.064676,30.285501,35.575176,30.523602,<15.484014 | 41.506458>,<-66.096649 | -38.128998>,<18.090487 | 50.994888>,<-73.994743 | -49.861362>,<155.049225 | 155.049225>,<-0.344990 | -0.344990>,<159.823471 | 159.823471>,<-0.307175 | -0.307175>,<-68.716888 | -68.716888>,<-159.218689 | -159.218689>,<-101.741409 | -101.741409>,<-159.695831 | -159.695831>,<19.087124 | 22.263113>,<-41.722549 | -39.055336>,<9.813077 | 22.217712>,<-22.851746 | -10.091036>,72.819931,33.533920,74.478912,32.485592
11,6.000000,304.910004,707.964111,149.793564,63.050678,57.476261,61.334373,59.856998,79.478004,79.782600,79.991394,79.903114,30.064676,30.285501,35.575176,30.523602,<18.783590 | 46.602749>,<-67.169128 | -37.206860>,<22.839577 | 56.277672>,<-78.523529 | -52.800117>,<153.682297 | 153.682297>,<-0.344990 | -0.344990>,<159.823471 | 159.823471>,<-0.307175 | -0.307175>,<-75.966141 | -75.966141>,<-159.715897 | -159.715897>,<-101.741409 | -101.741409>,<-159.695831 | -159.695831>,<5.416538 | 23.927301>,<-32.949501 | -18.969564>,<10.613982 | 16.966999>,<-19.074329 | -4.250342>,75.691727,63.346893,64.744545,65.701653
