Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
12,3.000000,364.350006,564.740417,148.401779,58.121952,60.589325,64.141327,63.122250,79.821045,79.923775,79.611717,79.820488,32.147507,30.031139,31.391918,32.005409,<1.777454 | 26.998205>,<-44.313522 | -22.707903>,<10.905567 | 31.910748>,<-35.422028 | -18.968706>,<90.310928 | 90.310928>,<-0.104839 | -0.104839>,<92.577873 | 92.577873>,<-0.001692 | -0.001692>,<-113.823074 | -113.823074>,<-133.131836 | -133.131836>,<-50.336967 | -50.336967>,<-138.589462 | -138.589462>,<12.165608 | 26.510941>,<-54.092911 | -31.161432>,<9.985378 | 28.029547>,<-3.161617 | -0.045669>,74.983002,57.457413,77.811508,76.296043
13,4.000000,385.940002,616.872070,159.233322,59.884491,62.652176,64.572151,63.527672,79.821045,79.923775,79.611717,79.820488,32.147507,30.405125,33.337910,32.005409,<4.170053 | 24.354372>,<-45.562397 | -22.278208>,<10.807781 | 30.829700>,<-35.598976 | -15.814456>,<90.310928 | 90.310928>,<-0.096543 | -0.096543>,<119.000954 | 119.000954>,<-0.001692 | -0.001692>,<-69.254631 | -69.254631>,<-134.213852 | -134.213852>,<-44.757332 | -44.757332>,<-138.589462 | -138.589462>,<8.815079 | 10.764276>,<-17.177902 | -16.833990>,<15.499450 | 33.582603>,<-49.420406 | -34.043407>,79.476006,65.546539,63.184380,73.888489
14,3.000000,390.739990,688.851196,114.220070,60.527481,62.985268,67.027527,66.142906,79.821045,79.923775,79.611717,79.820488,32.147507,30.293457,37.510899,33.113907,<5.509375 | 25.716591>,<-39.758976 | -18.587000>,<6.398230 | 27.222937>,<-37.085678 | -18.040365>,<90.310928 | 90.310928>,<-0.096543 | -0.096543>,<79.140503 | 79.140503>,<-0.001692 | -0.001692>,<-69.254631 | -69.254631>,<-97.834946 | -97.834946>,<-75.826523 | -75.826523>,<-138.589462 | -138.589462>,<9.080226 | 10.277689>,<-23.798853 | -2.600689>,<12.515747 | 15.623594>,<-32.725136 | -24.947540>,64.240829,62.010372,78.497398,60.139256
15,4.000000,388.970001,687.742432,2.549401,62.378551,64.838120,67.782135,66.079391,79.821045,79.990570,79.611717,79.820488,31.131950,30.293457,37.765965,33.113907,<4.578025 | 23.223091>,<-41.127758 | -18.230888>,<8.335801 | 29.377686>,<-37.061798 | -17.226313>,<70.259674 | 70.259674>,<-0.096543 | -0.096543>,<103.354813 | 103.354813>,<-0.001692 | -0.001692>,<-64.892838 | -64.892838>,<-97.834946 | -97.834946>,<-63.304211 | -63.304211>,<-94.702682 | -94.702682>,<9.080226 | 10.277689>,<-23.798853 | -2.600689>,<12.515747 | 15.623594>,<-32.725136 | -24.947540>,64.240829,62.010372,78.497398,60.139256
16,0.000000,414.859985,609.567749,65.882568,61.147388,64.628685,67.564278,68.925507,79.842796,79.923775,79.611717,79.820488,31.131950,30.293457,37.765965,33.113907,<5.100092 | 20.913689>,<-40.469776 | -17.186764>,<8.251427 | 28.537390>,<-39.705795 | -18.603327>,<60.722206 | 60.722206>,<-0.096543 | -0.096543>,<79.140503 | 79.140503>,<-0.002148 | -0.002148>,<-60.093567 | -60.093567>,<-97.852158 | -97.852158>,<-29.465170 | -29.465170>,<-101.854218 | -101.854218>,<8.815079 | 10.764276>,<-17.177902 | -16.833990>,<15.499450 | 33.582603>,<-49.420406 | -34.043407>,79.476006,65.546539,63.184380,73.888489
17,2.000000,424.709991,708.289734,123.117638,61.314648,66.023293,68.576454,66.814072,79.842796,79.923775,79.940506,79.820488,31.131950,30.293457,35.179745,32.405102,<3.371757 | 21.689316>,<-41.235283 | -19.049446>,<7.857961 | 28.147879>,<-34.992428 | -15.385327>,<57.556618 | 57.556618>,<-0.126301 | -0.126301>,<58.216473 | 58.216473>,<-0.002148 | -0.002148>,<-87.441803 | -87.441803>,<-97.852158 | -97.852158>,<-56.912781 | -56.912781>,<-94.666214 | -94.666214>,<9.080226 | 10.277689>,<-23.798853 | -2.600689>,<12.515747 | 15.623594>,<-32.725136 | -24.947540>,64.240829,62.010372,78.497398,60.139256
18,1.000000,426.630005,629.651733,2.284099,63.113697,67.622253,68.330750,66.946159,79.842796,79.923775,79.940506,79.820488,31.131950,30.293457,37.765965,33.113907,<4.447744 | 23.264721>,<-41.563412 | -20.498405>,<9.153496 | 27.596655>,<-39.826229 | -19.700403>,<153.641083 | 153.641083>,<-0.121537 | -0.121537>,<57.907696 | 57.907696>,<-0.002148 | -0.002148>,<-107.435173 | -107.435173>,<-115.554749 | -115.554749>,<-29.465170 | -29.465170>,<-143.019348 | -143.019348>,<19.051382 | 19.737144>,<-48.199829 | -12.969672>,<18.484739 | 22.710226>,<-70.332428 | -31.629463>,77.733795,70.750267,57.985096,79.590149
19,2.000000,418.869995,629.683777,0.100304,64.752777,66.232391,68.239281,65.956276,79.821045,79.923775,79.940506,79.820488,30.772133,30.293457,36.133396,32.917728,<4.640748 | 22.405123>,<-41.203712 | -20.540756>,<7.560050 | 26.273514>,<-37.429577 | -18.905270>,<96.199417 | 96.199417>,<-0.126301 | -0.126301>,<55.654034 | 55.654034>,<-0.001900 | -0.001900>,<-94.904144 | -94.904144>,<-103.604172 | -103.604172>,<-87.268013 | -87.268013>,<-98.996490 | -98.996490>,<8.815079 | 10.764276>,<-17.177902 | -16.833990>,<15.499450 | 33.582603>,<-49.420406 | -34.043407>,79.476006,65.546539,63.184380,73.888489
20,0.000000,428.459991,707.511597,102.924522,64.512398,67.428352,66.384796,67.426643,79.821045,79.923775,79.996025,79.926613,31.131950,30.329229,30.258385,33.113907,<4.180561 | 19.584698>,<-40.118530 | -19.268587>,<8.667874 | 26.602495>,<-38.413662 | -17.762913>,<43.593071 | 43.593071>,<-0.060040 | -0.060040>,<52.450977 | 52.450977>,<-0.002148 | -0.002148>,<-60.093567 | -60.093567>,<-97.852158 | -97.852158>,<-29.465170 | -29.465170>,<-98.996490 | -98.996490>,<9.080226 | 10.277689>,<-23.798853 | -2.600689>,<12.515747 | 15.623594>,<-32.725136 | -24.947540>,64.240829,62.010372,78.497398,60.139256
21,0.000000,449.489990,642.587219,182.590866,65.605164,67.887589,67.906815,66.879173,79.821045,79.923775,79.969795,79.820488,31.131950,30.329229,34.478867,33.113907,<5.420179 | 21.217966>,<-41.554859 | -19.140814>,<9.677203 | 27.315407>,<-39.475430 | -18.912060>,<54.636517 | 54.636517>,<-0.126301 | -0.126301>,<56.069878 | 56.069878>,<-0.002148 | -0.002148>,<-60.093567 | -60.093567>,<-97.852158 | -97.852158>,<-28.093361 | -28.093361>,<-98.996490 | -98.996490>,<0.256785 | 13.431520>,<-20.028522 | -17.978195>,<-6.847452 | 7.254298>,<-2.789946 | -0.002938>,79.821045,74.553215,75.654839,57.803810
22,0.000000,456.369995,710.054321,117.357857,67.062958,69.568451,68.973122,66.893280,79.821045,79.923775,79.970024,79.914780,31.131950,30.405125,35.712837,33.113907,<4.979685 | 20.742638>,<-40.822681 | -18.267849>,<8.994473 | 28.030760>,<-38.642395 | -18.077251>,<54.636517 | 54.636517>,<-0.126301 | -0.126301>,<56.069878 | 56.069878>,<-0.002148 | -0.002148>,<-60.093567 | -60.093567>,<-97.852158 | -97.852158>,<-40.829132 | -40.829132>,<-115.673737 | -115.673737>,<6.517214 | 15.113267>,<-23.042538 | -0.433985>,<10.056147 | 11.673088>,<-33.728821 | -20.424358>,79.221512,78.375595,79.970024,76.427734
23,2.000000,445.869995,700.462708,41.337700,68.243011,68.277405,69.148003,67.509186,79.821045,79.923775,79.970024,79.820488,31.131950,30.405125,31.223209,33.113907,<4.259778 | 24.070942>,<-44.498871 | -18.746668>,<8.842683 | 29.781927>,<-44.362091 | -20.488699>,<149.024780 | 149.024780>,<-0.044614 | -0.044614>,<149.851868 | 149.851868>,<-0.002938 | -0.002938>,<-148.413406 | -148.413406>,<-139.282257 | -139.282257>,<-58.709404 | -58.709404>,<-154.719589 | -154.719589>,<6.517214 | 15.113267>,<-23.042538 | -0.433985>,<10.056147 | 11.673088>,<-33.728821 | -20.424358>,79.221512,78.375595,79.970024,76.427734
24,2.000000,452.480011,706.561035,218.280777,68.537529,68.889191,70.162987,68.474113,79.821045,79.923775,79.970024,79.820488,31.131950,30.405125,34.104767,33.113907,<5.406540 | 20.723997>,<-42.050449 | -17.872854>,<8.088625 | 26.611086>,<-43.801979 | -19.204491>,<54.636517 | 54.636517>,<-0.031891 | -0.031891>,<52.450977 | 52.450977>,<-0.002938 | -0.002938>,<-60.093567 | -60.093567>,<-112.582237 | -112.582237>,<-58.768475 | -58.768475>,<-131.256851 | -131.256851>,<6.517214 | 15.113267>,<-23.042538 | -0.433985>,<10.056147 | 11.673088>,<-33.728821 | -20.424358>,79.221512,78.375595,79.970024,76.427734
25,1.000000,474.760010,741.327271,129.898636,69.371986,68.429779,70.785408,69.624596,79.821045,79.923775,79.970024,79.952232,31.131950,30.125097,37.765965,33.113907,<6.075788 | 21.207069>,<-41.594376 | -18.288895>,<10.100904 | 27.001097>,<-42.627506 | -20.394766>,<54.636517 | 54.636517>,<-0.126301 | -0.126301>,<54.517937 | 54.517937>,<-0.002938 | -0.002938>,<-60.093567 | -60.093567>,<-112.582237 | -112.582237>,<-21.372570 | -21.372570>,<-107.442688 | -107.442688>,<0.104084 | 19.445498>,<-15.163641 | -14.673162>,<11.031411 | 11.366789>,<-37.128666 | -1.725811>,79.221512,78.935616,79.577888,77.089592
26,0.000000,495.750000,806.391479,298.718079,70.725021,69.270622,69.937347,71.175194,79.883064,79.975624,79.970024,79.946213,31.131950,30.125097,37.765965,38.342777,<6.599604 | 21.477165>,<-41.304550 | -17.398653>,<9.546997 | 27.079588>,<-40.791199 | -19.092327>,<55.194347 | 55.194347>,<-0.032272 | -0.032272>,<49.709946 | 49.709946>,<-0.002938 | -0.002938>,<-60.093567 | -60.093567>,<-112.582237 | -112.582237>,<-21.372570 | -21.372570>,<-114.943954 | -114.943954>,<17.918659 | 27.020176>,<-19.207064 | -0.217232>,<5.922929 | 9.799667>,<-30.482264 | -24.288927>,37.946648,78.974579,74.576561,77.110657
27,0.000000,496.470001,762.742432,201.607285,70.398148,69.524071,69.329384,71.604279,79.997528,79.975624,79.970024,79.946213,31.131950,30.125097,35.397858,37.872009,<6.388023 | 21.325014>,<-40.010857 | -14.667357>,<8.990303 | 25.334152>,<-43.275616 | -20.925329>,<54.636517 | 54.636517>,<-0.032272 | -0.032272>,<52.899021 | 52.899021>,<-0.021378 | -0.021378>,<-60.093567 | -60.093567>,<-127.778702 | -127.778702>,<-21.372570 | -21.372570>,<-150.503189 | -150.503189>,<23.807993 | 26.395653>,<-31.626429 | -22.471466>,<9.214793 | 36.919071>,<-54.615372 | -47.602211>,76.089325,74.536140,76.244820,71.355133
28,1.000000,496.070007,797.988708,279.424011,71.007408,69.704056,69.572235,72.631859,79.897774,79.987549,79.980698,79.969627,31.131950,30.125097,31.431780,38.342777,<8.275724 | 22.272497>,<-41.161911 | -14.654039>,<8.654464 | 25.425674>,<-43.781776 | -18.975714>,<94.863754 | 94.863754>,<-0.032272 | -0.032272>,<65.769272 | 65.769272>,<-0.012128 | -0.012128>,<-23.424370 | -23.424370>,<-133.310593 | -133.310593>,<-84.940468 | -84.940468>,<-153.333923 | -153.333923>,<17.918659 | 27.020176>,<-19.207064 | -0.217232>,<5.922929 | 9.799667>,<-30.482264 | -24.288927>,37.946648,78.974579,74.576561,77.110657
29,2.000000,501.329987,728.064819,238.113937,70.841614,69.888229,69.222672,72.349129,79.821098,79.975624,79.970024,79.946213,31.131950,30.125097,35.397858,38.342777,<6.540798 | 21.890896>,<-39.946960 | -14.069507>,<9.409616 | 25.769138>,<-44.551601 | -20.117592>,<94.057846 | 94.057846>,<-0.032272 | -0.032272>,<146.116608 | 146.116608>,<-0.021378 | -0.021378>,<-58.841011 | -58.841011>,<-97.695992 | -97.695992>,<-32.231579 | -32.231579>,<-135.777634 | -135.777634>,<6.517214 | 15.113267>,<-23.042538 | -0.433985>,<10.056147 | 11.673088>,<-33.728821 | -20.424358>,79.221512,78.375595,79.970024,76.427734
30,1.000000,508.470001,737.897461,177.599197,71.532814,68.894699,68.886383,71.410004,79.821098,79.975624,79.970024,79.963104,31.131950,30.125097,33.260361,38.342777,<6.237757 | 20.082403>,<-36.840889 | -13.096018>,<8.570746 | 24.723316>,<-41.394974 | -19.048061>,<50.740471 | 50.740471>,<-0.060928 | -0.060928>,<83.260269 | 83.260269>,<-0.011346 | -0.011346>,<-23.424370 | -23.424370>,<-87.076637 | -87.076637>,<-42.628563 | -42.628563>,<-106.914230 | -106.914230>,<23.807993 | 26.395653>,<-31.626429 | -22.471466>,<9.214793 | 36.919071>,<-54.615372 | -47.602211>,76.089325,74.536140,76.244820,71.355133
31,1.000000,517.770020,758.114380,207.462753,70.652084,69.431091,70.377495,72.166840,79.821098,79.975624,79.971771,79.925499,31.131950,30.125097,35.397858,38.342777,<5.875986 | 21.479792>,<-39.577164 | -13.854522>,<10.613130 | 26.658258>,<-44.571690 | -20.890574>,<124.186981 | 124.186981>,<-0.014111 | -0.014111>,<150.355042 | 150.355042>,<-0.023264 | -0.023264>,<-106.653275 | -106.653275>,<-150.729736 | -150.729736>,<-23.402092 | -23.402092>,<-114.266060 | -114.266060>,<23.807993 | 26.395653>,<-31.626429 | -22.471466>,<9.214793 | 36.919071>,<-54.615372 | -47.602211>,76.089325,74.536140,76.244820,71.355133
32,1.000000,512.609985,741.510132,174.031326,70.984138,69.637039,68.137978,72.529510,79.821098,79.975624,79.970024,79.925499,31.131950,30.125097,34.717323,38.342777,<8.258965 | 21.029018>,<-37.182941 | -11.992439>,<9.288684 | 24.719933>,<-44.494694 | -22.313353>,<42.880299 | 42.880299>,<-0.060928 | -0.060928>,<60.066231 | 60.066231>,<-0.023264 | -0.023264>,<-28.037800 | -28.037800>,<-87.076637 | -87.076637>,<-37.860558 | -37.860558>,<-130.236526 | -130.236526>,<4.041381 | 14.132334>,<-22.080755 | -0.858151>,<9.454392 | 20.474482>,<-37.565109 | -32.753597>,59.139534,66.986565,74.755272,79.276566
33,0.000000,533.640015,724.433105,310.409973,71.591599,69.696983,68.252975,72.590988,79.821098,79.975624,79.970024,79.925499,31.131950,30.125097,35.397858,38.342777,<8.184042 | 20.463919>,<-38.557640 | -12.625191>,<10.331959 | 26.264193>,<-42.818241 | -21.178299>,<42.880299 | 42.880299>,<-0.004985 | -0.004985>,<66.911087 | 66.911087>,<-0.023264 | -0.023264>,<-28.037800 | -28.037800>,<-87.076637 | -87.076637>,<-6.164042 | -6.164042>,<-99.017792 | -99.017792>,<4.041381 | 14.132334>,<-22.080755 | -0.858151>,<9.454392 | 20.474482>,<-37.565109 | -32.753597>,59.139534,66.986565,74.755272,79.276566
34,0.000000,524.320007,812.675476,128.085266,71.587112,70.122971,68.523308,72.944305,79.821098,79.975624,79.977478,79.925499,31.131950,30.125097,35.397858,38.342777,<8.453148 | 21.584866>,<-38.693256 | -13.404881>,<10.371629 | 26.902664>,<-42.152992 | -21.455751>,<69.321075 | 69.321075>,<-0.000436 | -0.000436>,<59.636719 | 59.636719>,<-0.023264 | -0.023264>,<-59.152180 | -59.152180>,<-87.076637 | -87.076637>,<-14.179449 | -14.179449>,<-99.017792 | -99.017792>,<14.347868 | 16.412992>,<-30.026749 | -0.578550>,<10.718016 | 12.622767>,<-42.034637 | -33.079353>,79.672707,78.903427,76.185959,77.097679
35,1.000000,528.119995,818.442566,164.134842,71.630470,70.880249,70.280655,73.046394,79.821098,79.975624,79.977478,79.925499,31.131950,30.125097,35.397858,38.342777,<8.180161 | 20.065218>,<-37.690567 | -12.010324>,<10.426278 | 26.641735>,<-42.717213 | -23.045727>,<36.247765 | 36.247765>,<-0.000436 | -0.000436>,<58.741447 | 58.741447>,<-0.023264 | -0.023264>,<-60.113865 | -60.113865>,<-87.076637 | -87.076637>,<-15.502300 | -15.502300>,<-99.017792 | -99.017792>,<14.347868 | 16.412992>,<-30.026749 | -0.578550>,<10.718016 | 12.622767>,<-42.034637 | -33.079353>,79.672707,78.903427,76.185959,77.097679
36,0.000000,544.280029,819.902771,230.117111,71.868736,69.448669,69.639153,73.217316,79.927773,79.975624,79.977478,79.925499,31.131950,30.125097,35.397858,38.342777,<8.651232 | 19.940126>,<-36.885231 | -11.717566>,<10.541326 | 26.678345>,<-43.305592 | -24.810066>,<42.319080 | 42.319080>,<-0.000436 | -0.000436>,<58.741447 | 58.741447>,<-0.023264 | -0.023264>,<-28.037800 | -28.037800>,<-96.547707 | -96.547707>,<-5.080550 | -5.080550>,<-99.017792 | -99.017792>,<14.347868 | 16.412992>,<-30.026749 | -0.578550>,<10.718016 | 12.622767>,<-42.034637 | -33.079353>,79.672707,78.903427,76.185959,77.097679
37,0.000000,549.419983,815.767883,270.440826,72.652809,70.466019,71.746643,73.162132,79.967598,79.975624,79.977478,79.925499,33.231544,32.079979,35.397858,38.342777,<9.473633 | 20.363495>,<-37.671337 | -11.059032>,<9.900662 | 26.241369>,<-43.503502 | -25.718403>,<36.247765 | 36.247765>,<-0.000436 | -0.000436>,<58.741447 | 58.741447>,<-0.023264 | -0.023264>,<-28.037800 | -28.037800>,<-90.074112 | -90.074112>,<-24.749950 | -24.749950>,<-108.319115 | -108.319115>,<14.437786 | 15.459901>,<-45.253716 | -0.070694>,<6.750422 | 8.002155>,<-45.681858 | -38.643059>,79.967598,79.307213,79.475372,78.903610
38,0.000000,548.510010,840.178040,179.730392,72.415016,70.373581,70.809158,73.464966,79.967598,79.975624,79.977478,79.925499,33.231544,32.079979,35.397858,38.342777,<8.546902 | 18.993387>,<-36.142082 | -10.297308>,<10.333377 | 25.723465>,<-42.004238 | -25.714529>,<46.701000 | 46.701000>,<-0.000436 | -0.000436>,<60.180145 | 60.180145>,<-0.124749 | -0.124749>,<-56.028271 | -56.028271>,<-79.693161 | -79.693161>,<-13.359837 | -13.359837>,<-99.017792 | -99.017792>,<12.322317 | 18.025646>,<-45.772488 | -0.053977>,<6.703386 | 7.644474>,<-45.678280 | -38.488762>,79.774475,79.349380,79.089966,79.851410
