Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,64.000000,113.660004,425.590515,140.196838,54.322472,54.651508,54.076492,55.211739,79.877144,79.992371,79.814255,79.413025,30.149572,30.227196,30.033409,30.675528,<-7.882593 | 61.320351>,<-77.268288 | -41.199173>,<-21.127417 | 57.508980>,<-73.816223 | -35.813160>,<149.227386 | 149.227386>,<-1.621063 | -1.621063>,<156.534058 | 156.534058>,<-0.756107 | -0.756107>,<-153.100693 | -153.100693>,<-156.829407 | -156.829407>,<-157.278244 | -157.278244>,<-159.029449 | -159.029449>,<1.548981 | 14.580082>,<-16.053802 | -5.391918>,<-0.443398 | 1.133347>,<-31.424435 | -29.701849>,67.888763,78.252808,48.379089,30.728836
2,52.999996,132.860001,533.051331,85.465988,56.573212,55.957523,53.468105,56.124092,79.895950,79.992371,79.584106,79.413025,30.149572,30.227196,30.033409,30.567324,<1.235418 | 62.627018>,<-77.453743 | -37.913635>,<-16.412298 | 61.536694>,<-76.184647 | -35.028812>,<153.149887 | 153.149887>,<-0.629908 | -0.629908>,<159.752045 | 159.752045>,<-0.756107 | -0.756107>,<-140.233856 | -140.233856>,<-159.296631 | -159.296631>,<-157.278244 | -157.278244>,<-159.029449 | -159.029449>,<1.548981 | 14.580082>,<-16.053802 | -5.391918>,<-0.443398 | 1.133347>,<-31.424435 | -29.701849>,67.888763,78.252808,48.379089,30.728836
3,45.000000,154.460007,513.818909,19.799931,54.637630,56.164597,53.346561,55.832306,79.895950,78.557922,79.799782,79.413025,30.089518,30.227196,30.033409,30.411030,<5.876948 | 58.919365>,<-73.652008 | -36.351376>,<-7.716077 | 59.041553>,<-74.639397 | -34.506500>,<153.149887 | 153.149887>,<-0.307991 | -0.307991>,<159.752045 | 159.752045>,<-0.201621 | -0.201621>,<-140.233856 | -140.233856>,<-159.296631 | -159.296631>,<-154.271500 | -154.271500>,<-159.029449 | -159.029449>,<10.774463 | 23.833408>,<-50.417747 | -21.057142>,<-0.627386 | 6.181484>,<-25.132662 | -23.431238>,68.968765,72.927361,30.033409,75.159172
4,29.000000,183.080002,522.255127,19.689671,55.040573,54.207066,52.661621,55.640781,79.895950,79.751205,79.584106,79.413025,30.863359,30.227196,30.033409,30.411030,<3.491742 | 50.412106>,<-72.548973 | -38.004967>,<5.901102 | 58.259209>,<-72.276688 | -32.274323>,<151.321533 | 151.321533>,<-0.081590 | -0.081590>,<159.752045 | 159.752045>,<-0.756107 | -0.756107>,<-157.444611 | -157.444611>,<-159.296631 | -159.296631>,<-95.602203 | -95.602203>,<-159.338791 | -159.338791>,<10.774463 | 23.833408>,<-50.417747 | -21.057142>,<-0.627386 | 6.181484>,<-25.132662 | -23.431238>,68.968765,72.927361,30.033409,75.159172
5,20.000000,209.600006,449.240204,53.220612,56.434242,53.663048,54.847244,56.495552,79.926819,79.751205,79.584106,79.413025,30.863359,30.359167,30.033409,30.411030,<9.495379 | 50.540577>,<-74.369652 | -41.522827>,<11.557381 | 56.413727>,<-72.345711 | -33.619740>,<157.812775 | 157.812775>,<-0.629908 | -0.629908>,<159.752045 | 159.752045>,<-0.756107 | -0.756107>,<-83.993256 | -83.993256>,<-159.296631 | -159.296631>,<-133.099915 | -133.099915>,<-159.338791 | -159.338791>,<1.548981 | 14.580082>,<-16.053802 | -5.391918>,<-0.443398 | 1.133347>,<-31.424435 | -29.701849>,67.888763,78.252808,48.379089,30.728836
6,10.000000,232.520004,449.907104,0.625977,57.785908,54.092369,53.296207,56.842964,79.927254,79.751205,79.785423,79.413025,30.863359,30.436159,30.033409,30.567324,<8.046826 | 48.525299>,<-76.973289 | -45.503189>,<17.691658 | 58.499107>,<-73.042191 | -33.740387>,<157.812775 | 157.812775>,<-0.629908 | -0.629908>,<159.752045 | 159.752045>,<-0.756107 | -0.756107>,<-83.993256 | -83.993256>,<-159.296631 | -159.296631>,<-57.913822 | -57.913822>,<-159.338791 | -159.338791>,<1.113160 | 2.987932>,<-14.236820 | -4.870657>,<-7.710558 | -2.509685>,<-25.500694 | -25.450989>,70.021683,79.751205,50.953854,51.701294
7,15.000001,229.600006,615.922913,25.304991,58.876934,54.913944,56.523209,57.020580,79.927254,79.751205,79.785423,79.413025,30.863359,30.547947,30.033409,30.567324,<6.766263 | 49.091537>,<-76.182831 | -44.810837>,<13.514312 | 54.641563>,<-74.922272 | -32.727962>,<149.333130 | 149.333130>,<-0.112330 | -0.112330>,<159.752045 | 159.752045>,<-0.109092 | -0.109092>,<-110.883514 | -110.883514>,<-158.961258 | -158.961258>,<-76.950974 | -76.950974>,<-159.933746 | -159.933746>,<15.219292 | 22.257122>,<-53.466518 | -23.036379>,<7.102696 | 7.886041>,<-11.024486 | -8.957016>,79.895950,53.104950,40.360725,77.048973
8,11.000000,249.110001,607.643555,110.103867,59.744560,54.483471,54.084030,56.779438,79.927254,79.751205,79.785423,79.413025,30.863359,30.547947,30.033409,30.567324,<9.051014 | 50.924450>,<-75.711517 | -47.430614>,<14.642326 | 54.200001>,<-71.705994 | -33.495346>,<149.333130 | 149.333130>,<-0.558528 | -0.558528>,<158.927307 | 158.927307>,<-0.139755 | -0.139755>,<-83.993256 | -83.993256>,<-158.502029 | -158.502029>,<-90.894958 | -90.894958>,<-159.338791 | -159.338791>,<15.219292 | 22.257122>,<-53.466518 | -23.036379>,<7.102696 | 7.886041>,<-11.024486 | -8.957016>,79.895950,53.104950,40.360725,77.048973
9,4.000000,271.220001,623.333740,183.071594,59.254906,55.912510,56.322197,57.804649,79.927254,79.751205,79.785423,79.413025,30.089294,30.547947,30.033409,30.567324,<12.418762 | 52.252182>,<-77.436005 | -53.544815>,<16.804541 | 59.449215>,<-75.319023 | -36.861324>,<151.766754 | 151.766754>,<-0.082215 | -0.082215>,<158.927307 | 158.927307>,<-0.139755 | -0.139755>,<-83.993256 | -83.993256>,<-159.847580 | -159.847580>,<-88.361664 | -88.361664>,<-159.495804 | -159.495804>,<15.219292 | 22.257122>,<-53.466518 | -23.036379>,<7.102696 | 7.886041>,<-11.024486 | -8.957016>,79.895950,53.104950,40.360725,77.048973
10,6.000000,267.640015,609.014282,0.048859,60.225800,56.711098,57.800533,59.747330,79.927254,79.751205,79.927322,79.196320,30.089294,30.919676,30.033409,30.567324,<8.760654 | 45.995972>,<-70.567581 | -47.987476>,<14.111403 | 53.371449>,<-71.478493 | -35.331123>,<156.242767 | 156.242767>,<-0.082215 | -0.082215>,<158.927307 | 158.927307>,<-0.139755 | -0.139755>,<-84.096054 | -84.096054>,<-159.847580 | -159.847580>,<-120.783035 | -120.783035>,<-159.338791 | -159.338791>,<15.219292 | 22.257122>,<-53.466518 | -23.036379>,<7.102696 | 7.886041>,<-11.024486 | -8.957016>,79.895950,53.104950,40.360725,77.048973
11,5.000000,282.250000,620.401978,0.234070,60.509293,57.095020,59.385414,59.156815,79.927254,79.995110,79.927322,79.196320,30.089294,30.919676,30.033409,30.023115,<11.068769 | 45.645992>,<-69.363411 | -45.500820>,<9.406953 | 46.491821>,<-65.819588 | -30.425388>,<154.082809 | 154.082809>,<-0.082215 | -0.082215>,<158.927307 | 158.927307>,<-0.139755 | -0.139755>,<-51.799751 | -51.799751>,<-159.334595 | -159.334595>,<-107.438103 | -107.438103>,<-159.960022 | -159.960022>,<8.746437 | 20.898296>,<-65.109818 | -27.809706>,<8.514892 | 15.312352>,<-24.173843 | -20.976442>,67.669357,52.559021,69.202713,79.196320
