Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,68.000000,105.779999,609.783203,126.153862,55.313808,53.560333,55.012295,53.860474,79.670120,79.309357,79.413498,79.897774,30.049952,30.597946,30.409935,30.039804,<-33.421448 | 56.903378>,<-70.460022 | -37.221840>,<-24.059448 | 55.490005>,<-70.832642 | -31.966957>,<157.758575 | 157.758575>,<-0.078568 | -0.078568>,<159.606293 | 159.606293>,<-0.418793 | -0.418793>,<-157.439407 | -157.439407>,<-156.650482 | -156.650482>,<-151.068665 | -151.068665>,<-152.754013 | -152.754013>,<3.766510 | 20.389858>,<-42.988312 | -28.706734>,<-30.173412 | 19.959312>,<-7.153271 | -6.923592>,79.670120,70.461990,76.449188,76.966606
2,62.000000,115.089996,602.353394,28.239979,56.570396,54.432499,55.147236,55.278305,79.670120,79.424728,79.120056,79.420273,30.049952,30.597946,30.409935,30.039804,<-23.348753 | 61.538498>,<-74.964752 | -37.100807>,<-20.496704 | 60.260582>,<-75.240257 | -31.892509>,<156.364471 | 156.364471>,<-0.399980 | -0.399980>,<153.418793 | 153.418793>,<-0.342176 | -0.342176>,<-157.439407 | -157.439407>,<-157.972458 | -157.972458>,<-151.068665 | -151.068665>,<-156.728607 | -156.728607>,<3.766510 | 20.389858>,<-42.988312 | -28.706734>,<-30.173412 | 19.959312>,<-7.153271 | -6.923592>,79.670120,70.461990,76.449188,76.966606
3,50.000000,139.559998,479.294312,36.221321,56.773682,55.826279,54.492874,57.221382,79.815765,79.744911,79.120056,79.567680,30.049952,31.958935,30.409935,30.039804,<-18.199553 | 54.804863>,<-67.561852 | -32.262009>,<-12.171113 | 51.244667>,<-67.542610 | -27.686090>,<155.178955 | 155.178955>,<-0.399980 | -0.399980>,<155.213791 | 155.213791>,<-0.073475 | -0.073475>,<-157.439407 | -157.439407>,<-157.276932 | -157.276932>,<-149.620453 | -149.620453>,<-156.728607 | -156.728607>,<3.766510 | 20.389858>,<-42.988312 | -28.706734>,<-30.173412 | 19.959312>,<-7.153271 | -6.923592>,79.670120,70.461990,76.449188,76.966606
4,36.000000,175.419998,597.938721,29.000320,56.638531,57.040897,54.429424,58.673859,79.749512,79.774498,79.120056,79.420273,30.049952,31.958935,30.409935,30.039804,<-6.910811 | 47.474621>,<-58.992287 | -28.940241>,<-6.606673 | 45.729755>,<-59.075649 | -25.330791>,<155.178955 | 155.178955>,<-0.154984 | -0.154984>,<155.213791 | 155.213791>,<-0.056717 | -0.056717>,<-157.439407 | -157.439407>,<-156.650482 | -156.650482>,<-135.613556 | -135.613556>,<-154.570129 | -154.570129>,<3.766510 | 20.389858>,<-42.988312 | -28.706734>,<-30.173412 | 19.959312>,<-7.153271 | -6.923592>,79.670120,70.461990,76.449188,76.966606
5,23.000000,204.029999,566.167969,40.486427,56.752026,56.989220,53.625221,58.285870,79.749512,79.978111,79.434715,79.799492,31.870647,31.958935,30.034834,30.039804,<-6.205975 | 37.005920>,<-49.386513 | -24.700735>,<-0.227515 | 37.212128>,<-48.476894 | -19.613371>,<150.581573 | 150.581573>,<-0.154984 | -0.154984>,<155.213791 | 155.213791>,<-0.056717 | -0.056717>,<-126.574448 | -126.574448>,<-150.628036 | -150.628036>,<-99.047134 | -99.047134>,<-154.570129 | -154.570129>,<-8.480607 | 10.503350>,<-15.197148 | -1.935599>,<16.233377 | 23.085428>,<-32.463818 | -0.625029>,76.763046,69.231903,79.006287,78.767258
6,14.000000,225.029999,602.973511,49.044163,56.251637,56.363750,54.847977,58.338245,79.749512,79.978111,79.434715,79.208939,30.311272,30.444857,30.409935,30.039804,<-0.965598 | 30.322535>,<-42.353447 | -22.086990>,<-4.807754 | 33.489594>,<-44.161396 | -17.751705>,<148.458389 | 148.458389>,<-0.154984 | -0.154984>,<158.978653 | 158.978653>,<-0.015551 | -0.015551>,<-59.300869 | -59.300869>,<-150.628036 | -150.628036>,<-103.784195 | -103.784195>,<-155.414322 | -155.414322>,<3.766510 | 20.389858>,<-42.988312 | -28.706734>,<-30.173412 | 19.959312>,<-7.153271 | -6.923592>,79.670120,70.461990,76.449188,76.966606
7,9.000000,245.389999,619.843445,0.091469,58.067326,55.431385,54.002750,59.329174,79.875610,79.978111,79.434715,79.208939,30.311272,30.444857,30.409935,30.039804,<-1.814330 | 31.355677>,<-46.485218 | -24.037891>,<-2.346784 | 32.630917>,<-42.022045 | -16.876822>,<142.741119 | 142.741119>,<-0.594433 | -0.594433>,<158.978653 | 158.978653>,<-0.012307 | -0.012307>,<-78.244606 | -78.244606>,<-159.003876 | -159.003876>,<-69.252632 | -69.252632>,<-152.939438 | -152.939438>,<3.766510 | 20.389858>,<-42.988312 | -28.706734>,<-30.173412 | 19.959312>,<-7.153271 | -6.923592>,79.670120,70.461990,76.449188,76.966606
8,8.000000,253.699997,552.998596,71.433136,58.276649,55.308125,55.316227,59.049713,79.875610,79.978111,79.705856,79.986526,31.870647,30.444857,30.384815,30.039804,<-2.163521 | 31.256784>,<-43.991611 | -23.545557>,<-6.726522 | 32.591377>,<-40.653923 | -14.491903>,<144.803833 | 144.803833>,<-0.594433 | -0.594433>,<158.978653 | 158.978653>,<-0.003188 | -0.003188>,<-78.244606 | -78.244606>,<-150.628036 | -150.628036>,<-142.755264 | -142.755264>,<-152.074249 | -152.074249>,<-8.480607 | 10.503350>,<-15.197148 | -1.935599>,<16.233377 | 23.085428>,<-32.463818 | -0.625029>,76.763046,69.231903,79.006287,78.767258
9,7.000000,271.989990,538.534180,0.010605,59.132423,57.009937,57.666958,58.547440,79.875610,79.978111,79.767502,79.986526,30.514950,30.444857,30.409935,30.039804,<-0.063612 | 33.637211>,<-46.086868 | -25.472807>,<-2.426753 | 36.125942>,<-43.463238 | -15.596825>,<144.803833 | 144.803833>,<-0.341640 | -0.341640>,<158.978653 | 158.978653>,<-0.012307 | -0.012307>,<-113.781525 | -113.781525>,<-155.659882 | -155.659882>,<-65.358185 | -65.358185>,<-152.074249 | -152.074249>,<5.567185 | 18.575823>,<-39.441448 | -27.587570>,<-8.881328 | 0.202528>,<-9.104434 | -8.726839>,75.450958,79.298882,76.851151,63.502159
10,3.000000,299.260010,564.658752,73.004669,60.766563,57.390034,58.446415,59.338203,79.875610,79.978111,79.705856,79.986526,30.514950,30.250648,30.409935,30.039804,<-1.480465 | 30.114849>,<-43.563499 | -24.413132>,<-3.438835 | 30.480707>,<-37.154205 | -13.197146>,<144.597717 | 144.597717>,<-0.128117 | -0.128117>,<158.978653 | 158.978653>,<-0.003829 | -0.003829>,<-90.332642 | -90.332642>,<-155.659882 | -155.659882>,<-90.554718 | -90.554718>,<-149.079636 | -149.079636>,<3.766510 | 20.389858>,<-42.988312 | -28.706734>,<-30.173412 | 19.959312>,<-7.153271 | -6.923592>,79.670120,70.461990,76.449188,76.966606
11,5.000000,315.690002,610.380005,112.284508,60.689796,58.870377,59.297226,59.447262,79.875610,79.978111,79.749855,79.986526,30.514950,30.444857,30.409935,30.039804,<-5.129312 | 31.521021>,<-43.042843 | -23.327707>,<-2.134169 | 30.901291>,<-35.157623 | -11.878057>,<151.687225 | 151.687225>,<-0.594433 | -0.594433>,<159.156616 | 159.156616>,<-0.006537 | -0.006537>,<-122.504242 | -122.504242>,<-159.887024 | -159.887024>,<-96.999535 | -96.999535>,<-154.878159 | -154.878159>,<3.766510 | 20.389858>,<-42.988312 | -28.706734>,<-30.173412 | 19.959312>,<-7.153271 | -6.923592>,79.670120,70.461990,76.449188,76.966606
