Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,57.000000,137.070007,564.882385,148.647125,55.079018,53.788498,54.362415,54.767456,79.675568,79.539566,79.856277,79.780777,31.717157,30.147390,30.150553,30.209873,<-24.670643 | 54.337189>,<-72.717880 | -34.705055>,<-27.053074 | 55.583515>,<-78.174568 | -40.826359>,<150.951965 | 150.951965>,<-0.743301 | -0.743301>,<159.070160 | 159.070160>,<-0.197983 | -0.197983>,<-158.937805 | -158.937805>,<-155.347534 | -155.347534>,<-157.762711 | -157.762711>,<-158.580704 | -158.580704>,<14.918537 | 27.302582>,<-41.113880 | -22.984823>,<2.124294 | 27.073769>,<-46.356739 | -33.078178>,62.714336,70.506409,55.121910,64.575928
2,52.000000,140.190002,570.852783,116.010376,55.728867,54.926624,55.129356,57.086048,79.675568,79.545219,79.856277,79.976563,31.717157,30.147390,30.150553,30.209873,<-17.098909 | 52.115238>,<-72.831200 | -33.818165>,<-13.600393 | 62.182838>,<-72.567299 | -38.569008>,<145.689728 | 145.689728>,<-0.223782 | -0.223782>,<159.070160 | 159.070160>,<-0.197983 | -0.197983>,<-158.937805 | -158.937805>,<-157.819153 | -157.819153>,<-157.762711 | -157.762711>,<-158.580704 | -158.580704>,<14.918537 | 27.302582>,<-41.113880 | -22.984823>,<2.124294 | 27.073769>,<-46.356739 | -33.078178>,62.714336,70.506409,55.121910,64.575928
3,40.000000,169.669998,544.603394,129.596878,57.015026,55.989395,54.777634,58.112789,79.675568,79.545219,79.856277,79.931633,32.356571,30.147390,30.998125,30.209873,<-8.787770 | 48.278545>,<-67.971214 | -34.661964>,<-0.205417 | 61.338573>,<-68.720329 | -38.973125>,<147.412109 | 147.412109>,<-0.180410 | -0.180410>,<157.535400 | 157.535400>,<-0.197983 | -0.197983>,<-158.937805 | -158.937805>,<-157.819153 | -157.819153>,<-157.762711 | -157.762711>,<-158.580704 | -158.580704>,<14.918537 | 27.302582>,<-41.113880 | -22.984823>,<2.124294 | 27.073769>,<-46.356739 | -33.078178>,62.714336,70.506409,55.121910,64.575928
4,31.000000,191.289993,551.565674,58.814392,56.783279,54.527481,54.666782,59.161556,79.675568,79.131752,79.856277,79.981293,31.438606,30.147390,30.894669,30.583643,<2.792838 | 47.385517>,<-60.750904 | -34.105114>,<3.180744 | 53.054012>,<-65.015167 | -38.790874>,<156.290817 | 156.290817>,<-0.602361 | -0.602361>,<156.342361 | 156.342361>,<-0.197983 | -0.197983>,<-100.748749 | -100.748749>,<-157.819153 | -157.819153>,<-155.118820 | -155.118820>,<-158.580704 | -158.580704>,<14.918537 | 27.302582>,<-41.113880 | -22.984823>,<2.124294 | 27.073769>,<-46.356739 | -33.078178>,62.714336,70.506409,55.121910,64.575928
5,16.000000,231.880005,652.791504,50.233707,58.149601,55.101871,56.376465,58.931568,79.675568,79.131752,79.856277,79.931633,30.459280,30.147390,33.338261,31.330147,<6.707554 | 46.485909>,<-59.608620 | -36.073788>,<5.126698 | 45.221893>,<-60.263355 | -38.366516>,<156.290817 | 156.290817>,<-0.004485 | -0.004485>,<156.342361 | 156.342361>,<-0.197983 | -0.197983>,<-120.349548 | -120.349548>,<-159.357651 | -159.357651>,<-148.114685 | -148.114685>,<-158.580704 | -158.580704>,<34.827541 | 44.917480>,<-27.816946 | -8.983706>,<35.061630 | 38.741051>,<-28.792892 | -23.060299>,30.459280,62.864525,75.652588,67.885490
6,8.000000,260.089996,609.237488,57.271107,57.619694,56.270206,56.278324,59.312008,79.876488,79.988327,79.856277,79.790436,30.155640,30.147390,33.338261,31.330147,<10.981564 | 45.989159>,<-55.887840 | -34.986496>,<11.740230 | 48.464214>,<-59.305458 | -40.267662>,<158.680283 | 158.680283>,<-0.056247 | -0.056247>,<156.342361 | 156.342361>,<-0.187459 | -0.187459>,<-57.591728 | -57.591728>,<-159.364548 | -159.364548>,<-151.083984 | -151.083984>,<-159.958939 | -159.958939>,<6.230271 | 12.142744>,<-7.387868 | -6.277268>,<5.327878 | 26.154776>,<-18.225416 | -10.171944>,59.712009,60.003647,54.808376,60.177460
7,7.000000,266.440002,568.994934,0.217575,58.361893,55.052578,56.960419,60.577511,79.876488,79.988327,79.856277,79.867043,30.020765,30.147390,33.338261,30.599546,<15.389165 | 51.612717>,<-63.831459 | -43.794716>,<16.269436 | 54.156685>,<-62.198307 | -42.949562>,<158.680283 | 158.680283>,<-0.173735 | -0.173735>,<159.425262 | 159.425262>,<-0.197983 | -0.197983>,<-46.804119 | -46.804119>,<-159.381622 | -159.381622>,<-119.206741 | -119.206741>,<-159.958939 | -159.958939>,<14.918537 | 27.302582>,<-41.113880 | -22.984823>,<2.124294 | 27.073769>,<-46.356739 | -33.078178>,62.714336,70.506409,55.121910,64.575928
8,8.000000,280.570007,565.148865,135.821838,57.341015,56.589180,58.080406,61.755081,79.984863,79.988327,79.944214,79.867043,30.459280,30.010450,33.338261,31.330147,<14.851424 | 56.441525>,<-63.452953 | -43.753227>,<16.976803 | 53.754478>,<-62.280563 | -43.952061>,<158.680283 | 158.680283>,<-0.081040 | -0.081040>,<159.494370 | 159.494370>,<-0.197983 | -0.197983>,<-127.803314 | -127.803314>,<-159.643814 | -159.643814>,<-139.572220 | -139.572220>,<-159.958939 | -159.958939>,<14.918537 | 27.302582>,<-41.113880 | -22.984823>,<2.124294 | 27.073769>,<-46.356739 | -33.078178>,62.714336,70.506409,55.121910,64.575928
9,4.000000,292.059998,655.871399,0.422729,59.825993,57.600582,58.514923,63.837013,79.984863,79.988327,79.963860,79.867043,30.459280,30.147390,33.338261,31.706217,<12.461691 | 56.687096>,<-68.270042 | -47.973461>,<20.041245 | 51.721439>,<-63.682430 | -44.482853>,<159.255951 | 159.255951>,<-0.173735 | -0.173735>,<159.425262 | 159.425262>,<-0.197983 | -0.197983>,<-145.131317 | -145.131317>,<-159.643814 | -159.643814>,<-119.206741 | -119.206741>,<-159.958939 | -159.958939>,<34.827541 | 44.917480>,<-27.816946 | -8.983706>,<35.061630 | 38.741051>,<-28.792892 | -23.060299>,30.459280,62.864525,75.652588,67.885490
10,7.000000,304.329987,658.224915,179.524918,59.725784,59.324528,58.500504,65.388802,79.984863,79.988327,79.963860,79.890083,30.459280,30.147390,33.338261,31.706217,<10.356255 | 55.226299>,<-60.473736 | -41.691891>,<18.185867 | 52.252472>,<-62.987988 | -42.222626>,<158.680283 | 158.680283>,<-0.003823 | -0.003823>,<157.573593 | 157.573593>,<-0.197983 | -0.197983>,<-133.346252 | -133.346252>,<-159.375244 | -159.375244>,<-124.854767 | -124.854767>,<-159.958939 | -159.958939>,<34.827541 | 44.917480>,<-27.816946 | -8.983706>,<35.061630 | 38.741051>,<-28.792892 | -23.060299>,30.459280,62.864525,75.652588,67.885490
11,8.000000,302.260010,565.340515,21.923243,59.293789,60.354542,58.916557,65.772911,79.881920,79.988327,79.963860,79.867043,30.459280,30.147390,34.051342,30.263348,<11.004939 | 56.655712>,<-60.510067 | -41.695679>,<18.046900 | 46.377182>,<-63.898766 | -43.686203>,<159.956146 | 159.956146>,<-0.003823 | -0.003823>,<158.274658 | 158.274658>,<-0.197983 | -0.197983>,<-52.665482 | -52.665482>,<-159.899673 | -159.899673>,<-114.306137 | -114.306137>,<-159.977509 | -159.977509>,<14.918537 | 27.302582>,<-41.113880 | -22.984823>,<2.124294 | 27.073769>,<-46.356739 | -33.078178>,62.714336,70.506409,55.121910,64.575928
12,5.000000,313.399994,555.494141,0.051682,58.592091,60.707291,58.718105,66.419823,79.881920,79.988327,79.963860,79.867043,30.198534,30.088413,34.051342,30.263348,<8.768085 | 53.421310>,<-63.181610 | -43.596851>,<21.438789 | 47.208340>,<-63.380859 | -43.716076>,<159.956146 | 159.956146>,<-0.003823 | -0.003823>,<158.274658 | 158.274658>,<-0.197983 | -0.197983>,<-116.756279 | -116.756279>,<-159.448456 | -159.448456>,<-125.145134 | -125.145134>,<-159.977509 | -159.977509>,<13.424980 | 14.556049>,<-39.903450 | -7.817471>,<22.757191 | 26.456001>,<-25.052864 | -0.197983>,54.259792,35.854458,71.610703,74.464050
13,9.000000,315.010010,559.498718,0.090469,58.532627,62.353745,60.877159,65.507469,79.958817,79.988327,79.963860,79.968414,30.459280,30.147390,34.051342,30.263348,<9.221193 | 56.666039>,<-66.167610 | -46.426880>,<26.717789 | 52.518932>,<-65.592331 | -45.240456>,<159.956146 | 159.956146>,<-0.003823 | -0.003823>,<158.274658 | 158.274658>,<-0.197983 | -0.197983>,<-87.249313 | -87.249313>,<-159.357651 | -159.357651>,<-120.830170 | -120.830170>,<-159.977509 | -159.977509>,<14.918537 | 27.302582>,<-41.113880 | -22.984823>,<2.124294 | 27.073769>,<-46.356739 | -33.078178>,62.714336,70.506409,55.121910,64.575928
14,12.000000,297.450012,571.659241,0.779755,60.631393,61.094120,62.319340,64.767639,79.881920,79.988327,79.999695,79.867043,30.654671,30.175207,34.824654,30.045282,<7.657690 | 55.718494>,<-64.362427 | -46.763260>,<20.685802 | 53.452671>,<-66.123894 | -44.857822>,<159.956146 | 159.956146>,<-0.000974 | -0.000974>,<159.051590 | 159.051590>,<-0.010900 | -0.010900>,<-87.277023 | -87.277023>,<-159.403519 | -159.403519>,<-132.348572 | -132.348572>,<-159.977509 | -159.977509>,<14.918537 | 27.302582>,<-41.113880 | -22.984823>,<2.124294 | 27.073769>,<-46.356739 | -33.078178>,62.714336,70.506409,55.121910,64.575928
15,10.000000,317.950012,572.215271,33.261463,60.117363,61.260723,62.713188,65.036476,79.881920,79.988327,79.970459,79.867043,30.041586,30.776497,34.049175,30.263348,<6.227426 | 58.228413>,<-65.504135 | -46.340870>,<20.848095 | 52.464523>,<-67.392021 | -45.158150>,<159.640778 | 159.640778>,<-0.003823 | -0.003823>,<158.364868 | 158.364868>,<-0.010900 | -0.010900>,<-101.238876 | -101.238876>,<-159.403519 | -159.403519>,<-153.572800 | -153.572800>,<-159.958939 | -159.958939>,<36.714222 | 37.572716>,<-24.562963 | -1.136964>,<35.785946 | 39.475273>,<-35.497688 | -35.205795>,30.976185,34.967705,78.304466,65.241463
16,6.000000,335.410004,632.276367,81.181679,61.065556,61.733349,64.509682,65.449043,79.881920,79.988327,79.970459,79.867043,30.041586,30.776497,34.824654,30.263348,<11.121592 | 60.225357>,<-62.288067 | -47.482288>,<26.034372 | 55.313007>,<-67.662773 | -45.954887>,<159.640778 | 159.640778>,<-0.003823 | -0.003823>,<158.593063 | 158.593063>,<-0.010900 | -0.010900>,<-55.585026 | -55.585026>,<-159.201904 | -159.201904>,<-155.760803 | -155.760803>,<-159.958939 | -159.958939>,<21.519840 | 23.091339>,<-13.801621 | -7.241473>,<-5.355570 | 2.566217>,<-24.002954 | -17.544964>,79.278198,63.781528,75.652588,67.885490
17,3.000000,346.100006,634.966431,43.927250,62.504028,63.183922,64.013069,64.803719,79.881920,79.988327,79.963860,79.867043,30.654671,30.776497,34.824654,30.263348,<10.721567 | 64.311356>,<-66.109039 | -49.395855>,<35.879940 | 60.198605>,<-72.283859 | -50.899200>,<159.406250 | 159.406250>,<-0.003823 | -0.003823>,<158.274658 | 158.274658>,<-0.010900 | -0.010900>,<-123.345032 | -123.345032>,<-159.946304 | -159.946304>,<-125.426193 | -125.426193>,<-159.958939 | -159.958939>,<21.519840 | 23.091339>,<-13.801621 | -7.241473>,<-5.355570 | 2.566217>,<-24.002954 | -17.544964>,79.278198,63.781528,75.652588,67.885490
18,7.000000,338.519989,636.171692,155.696320,62.694019,62.879025,64.375671,65.547981,79.881920,79.988327,79.963860,79.867043,30.654671,30.776497,35.994476,30.263348,<3.318852 | 51.569096>,<-57.159420 | -42.238403>,<23.153244 | 48.246937>,<-63.874088 | -43.990158>,<159.406250 | 159.406250>,<-0.003823 | -0.003823>,<157.573593 | 157.573593>,<-0.197983 | -0.197983>,<-79.690147 | -79.690147>,<-159.946304 | -159.946304>,<-113.684593 | -113.684593>,<-159.958939 | -159.958939>,<21.519840 | 23.091339>,<-13.801621 | -7.241473>,<-5.355570 | 2.566217>,<-24.002954 | -17.544964>,79.278198,63.781528,75.652588,67.885490
