Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,100,0.200000,0.300000,Roulette,One point
,,,,Roulette sections,100,
,,,,Tournament members,2,
,,,,,,
1,63.000000,121.809998,484.198761,111.424522,55.642216,53.601337,56.275414,54.154762,79.613449,79.164848,78.758484,79.578323,30.150091,30.321808,30.329636,30.348740,<-19.423388 | 68.438011>,<-74.406891 | -35.274158>,<-19.915703 | 62.465870>,<-74.436058 | -34.290146>,<158.617523 | 158.617523>,<-0.318863 | -0.318863>,<157.802063 | 157.802063>,<-0.187187 | -0.187187>,<-158.313568 | -158.313568>,<-159.902863 | -159.902863>,<-139.326096 | -139.326096>,<-158.817429 | -158.817429>
2,52.000000,141.809998,497.538361,114.629517,56.464310,54.774380,56.198700,53.747349,79.588318,79.164848,78.758484,79.646149,30.150091,30.321808,30.682228,30.050644,<-11.105147 | 61.375790>,<-72.995049 | -30.338913>,<-14.784079 | 53.933231>,<-72.293823 | -32.880238>,<156.384399 | 156.384399>,<-0.318863 | -0.318863>,<157.802063 | 157.802063>,<-0.187187 | -0.187187>,<-147.873978 | -147.873978>,<-159.034195 | -159.034195>,<-133.926346 | -133.926346>,<-158.817429 | -158.817429>
3,48.000000,159.009995,491.558319,123.684265,54.910107,55.510242,54.702137,54.257671,79.588318,79.900543,79.312912,79.646149,30.057375,30.321808,30.600985,30.050644,<-10.738463 | 55.161999>,<-66.597839 | -30.398249>,<-14.583732 | 57.599312>,<-73.589546 | -37.287514>,<155.174530 | 155.174530>,<-0.680069 | -0.680069>,<157.802063 | 157.802063>,<-1.763664 | -1.763664>,<-142.631821 | -142.631821>,<-155.180069 | -155.180069>,<-158.527710 | -158.527710>,<-157.560043 | -157.560043>
4,40.000000,180.059998,490.660339,107.485085,54.104843,54.775654,54.493073,53.595680,78.554550,79.900543,79.426735,79.578323,30.150091,30.321808,30.912033,30.050644,<-12.098499 | 48.001602>,<-61.238869 | -28.392683>,<-14.412551 | 50.748932>,<-73.520020 | -34.914978>,<150.637787 | 150.637787>,<-0.680069 | -0.680069>,<153.856628 | 153.856628>,<-1.428757 | -1.428757>,<-145.312408 | -145.312408>,<-150.629730 | -150.629730>,<-158.527710 | -158.527710>,<-157.560043 | -157.560043>
5,31.000000,200.699997,524.289856,123.926262,54.622906,54.726124,53.808517,53.149513,79.804558,79.900543,79.396179,79.539879,30.150091,30.321808,30.779781,30.050644,<-3.551644 | 42.759384>,<-62.683243 | -28.864397>,<-9.406250 | 44.987015>,<-69.398766 | -34.355518>,<126.103485 | 126.103485>,<-1.192406 | -1.192406>,<152.236389 | 152.236389>,<-0.307556 | -0.307556>,<-90.973373 | -90.973373>,<-154.643280 | -154.643280>,<-155.123032 | -155.123032>,<-157.560043 | -157.560043>
6,32.000000,200.309998,597.643982,112.513786,55.434380,52.904766,52.519859,54.669884,78.984924,79.900543,79.413712,79.937912,30.798717,30.172548,30.383646,30.050644,<-9.978247 | 48.577282>,<-66.592468 | -30.394531>,<-4.786608 | 46.327499>,<-68.514221 | -37.065186>,<151.225494 | 151.225494>,<-0.590992 | -0.590992>,<159.318756 | 159.318756>,<-0.370483 | -0.370483>,<-146.396332 | -146.396332>,<-159.766357 | -159.766357>,<-109.923630 | -109.923630>,<-157.560043 | -157.560043>
7,35.000000,198.949997,578.838745,121.075905,53.944267,51.801079,54.566235,54.611893,78.984924,79.900543,79.556198,79.127228,30.241804,30.598150,31.177526,30.050644,<-9.086732 | 53.234020>,<-62.516815 | -31.301064>,<-8.444261 | 50.900654>,<-65.023766 | -36.127071>,<155.203888 | 155.203888>,<-1.500214 | -1.500214>,<155.656342 | 155.656342>,<-1.135956 | -1.135956>,<-147.984711 | -147.984711>,<-157.379974 | -157.379974>,<-146.850830 | -146.850830>,<-157.560043 | -157.560043>
8,30.000002,205.619995,562.565491,119.711182,54.984741,53.234406,57.045147,53.740162,79.776955,79.900543,79.556198,79.093109,30.241804,30.598150,31.359802,30.925138,<-1.949635 | 42.575912>,<-62.121613 | -31.176533>,<-10.113094 | 43.988091>,<-62.478794 | -31.193348>,<135.034760 | 135.034760>,<-0.010880 | -0.010880>,<155.656342 | 155.656342>,<-1.179386 | -1.179386>,<-131.193283 | -131.193283>,<-159.722534 | -159.722534>,<-149.659103 | -149.659103>,<-157.560043 | -157.560043>
9,33.000000,203.080002,504.525787,126.441895,56.060535,55.049728,58.198433,53.241158,79.625748,79.201653,79.556198,78.670471,30.322262,30.598150,30.480997,30.214888,<-5.516779 | 48.276211>,<-66.956596 | -33.916504>,<-8.465876 | 47.412304>,<-63.305466 | -30.618732>,<135.034760 | 135.034760>,<-0.010880 | -0.010880>,<155.656342 | 155.656342>,<-0.620659 | -0.620659>,<-131.193283 | -131.193283>,<-159.722534 | -159.722534>,<-146.330322 | -146.330322>,<-156.060287 | -156.060287>
10,28.000000,217.729996,397.077515,123.345665,56.882465,55.517242,57.218277,54.561779,79.625748,79.201653,79.556198,79.612602,31.145725,30.040606,30.480997,30.214888,<1.083879 | 43.972401>,<-60.712292 | -30.161766>,<-10.838800 | 38.009098>,<-61.371376 | -30.270254>,<153.789490 | 153.789490>,<-0.010880 | -0.010880>,<142.516663 | 142.516663>,<-0.622353 | -0.622353>,<-100.392860 | -100.392860>,<-159.333023 | -159.333023>,<-151.038300 | -151.038300>,<-158.175461 | -158.175461>
11,19.000000,244.240005,501.846130,115.111084,56.678379,55.273453,56.487812,54.407455,79.625748,79.730606,79.556198,78.670471,30.907536,30.598150,30.480997,30.214888,<1.199143 | 47.562763>,<-60.327129 | -30.841354>,<-10.584831 | 41.228828>,<-59.892426 | -30.057405>,<158.192200 | 158.192200>,<-0.010880 | -0.010880>,<142.516663 | 142.516663>,<-1.531048 | -1.531048>,<-157.617310 | -157.617310>,<-158.843369 | -158.843369>,<-150.141571 | -150.141571>,<-157.309128 | -157.309128>
12,19.000000,238.240005,515.857483,111.391518,57.396538,56.083858,54.835506,53.950306,79.625748,79.450577,79.556198,79.997749,31.145725,30.285591,30.167212,30.214888,<-0.170831 | 42.119473>,<-58.130672 | -28.040184>,<-0.976240 | 44.328594>,<-59.771481 | -31.900291>,<155.854614 | 155.854614>,<-0.010880 | -0.010880>,<154.032440 | 154.032440>,<-0.828461 | -0.828461>,<-157.935226 | -157.935226>,<-148.410599 | -148.410599>,<-111.070290 | -111.070290>,<-154.491730 | -154.491730>
13,23.000000,236.169998,484.596100,81.175018,56.469883,55.310680,54.307777,53.539528,79.625748,79.163795,79.723587,79.182465,30.763582,30.018547,30.167212,30.214888,<0.431197 | 43.096508>,<-55.669682 | -28.577969>,<-4.020894 | 44.410469>,<-59.561989 | -33.388577>,<157.007385 | 157.007385>,<-0.010880 | -0.010880>,<143.774780 | 143.774780>,<-1.278557 | -1.278557>,<-124.340485 | -124.340485>,<-155.164688 | -155.164688>,<-151.177780 | -151.177780>,<-154.491730 | -154.491730>
14,24.000000,221.020004,460.380066,69.506653,56.985802,53.994930,55.759708,56.945313,78.984924,79.774666,78.709320,79.490997,31.159836,30.598150,30.935238,30.214888,<-4.357306 | 46.926224>,<-64.048508 | -32.980724>,<-4.086575 | 49.144730>,<-66.796692 | -33.865570>,<155.854614 | 155.854614>,<-0.010880 | -0.010880>,<147.736237 | 147.736237>,<-0.320496 | -0.320496>,<-149.459915 | -149.459915>,<-155.225769 | -155.225769>,<-114.889221 | -114.889221>,<-157.069305 | -157.069305>
