Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,60.000004,122.860001,471.885986,85.391258,54.582840,56.020741,54.105995,51.839500,79.693573,78.994415,79.703407,79.121704,30.065741,30.570057,30.179543,30.178917,<-19.444565 | 56.604507>,<-78.012474 | -39.220997>,<-23.289576 | 59.855396>,<-77.821213 | -36.770573>,<159.013092 | 159.013092>,<-0.648220 | -0.648220>,<158.465515 | 158.465515>,<-0.545738 | -0.545738>,<-158.044418 | -158.044418>,<-159.619217 | -159.619217>,<-155.689529 | -155.689529>,<-156.272903 | -156.272903>,<13.202404 | 30.315369>,<-36.992207 | -8.327385>,<3.105232 | 10.816528>,<-45.426994 | -19.774824>,31.822392,64.969765,69.890335,62.874073
2,48.000000,146.500000,471.852631,96.190712,54.433002,57.541504,54.395195,52.155537,79.693573,78.994415,79.703407,79.121704,30.065741,32.327774,30.179543,30.009296,<-19.356756 | 55.686234>,<-78.483612 | -38.187767>,<-8.454620 | 61.106400>,<-75.493225 | -37.845707>,<159.314377 | 159.314377>,<-0.648220 | -0.648220>,<158.465515 | 158.465515>,<-0.041499 | -0.041499>,<-158.044418 | -158.044418>,<-159.865601 | -159.865601>,<-155.689529 | -155.689529>,<-156.366959 | -156.366959>,<13.202404 | 30.315369>,<-36.992207 | -8.327385>,<3.105232 | 10.816528>,<-45.426994 | -19.774824>,31.822392,64.969765,69.890335,62.874073
3,37.000000,184.229996,523.900391,88.220284,54.199390,57.494164,56.441879,52.028080,79.104813,78.707054,79.703407,79.142593,30.065741,31.567226,30.179543,30.009296,<-5.734811 | 51.713245>,<-69.173561 | -34.271576>,<6.203063 | 58.679935>,<-74.715530 | -41.523594>,<159.314377 | 159.314377>,<-0.230889 | -0.230889>,<158.465515 | 158.465515>,<-0.041499 | -0.041499>,<-152.941605 | -152.941605>,<-159.865601 | -159.865601>,<-155.689529 | -155.689529>,<-156.366959 | -156.366959>,<13.202404 | 30.315369>,<-36.992207 | -8.327385>,<3.105232 | 10.816528>,<-45.426994 | -19.774824>,31.822392,64.969765,69.890335,62.874073
4,22.000000,201.229996,440.563324,0.038818,52.163902,57.451485,58.767666,52.537411,79.918381,79.882492,79.703407,79.142593,30.065741,32.327774,30.621347,30.009296,<4.299967 | 48.907509>,<-60.738159 | -32.998459>,<13.331501 | 50.818428>,<-71.440338 | -38.626717>,<159.314377 | 159.314377>,<-0.230889 | -0.230889>,<159.764969 | 159.764969>,<-0.041499 | -0.041499>,<-152.941605 | -152.941605>,<-159.865601 | -159.865601>,<-127.130112 | -127.130112>,<-158.800415 | -158.800415>,<13.202404 | 30.315369>,<-36.992207 | -8.327385>,<3.105232 | 10.816528>,<-45.426994 | -19.774824>,31.822392,64.969765,69.890335,62.874073
5,13.000000,240.240005,517.968567,63.558186,50.992065,58.296234,58.704037,52.903057,79.918381,79.916336,79.971146,79.142593,30.065741,32.327774,30.318789,30.009296,<12.301378 | 47.490414>,<-50.423935 | -28.719324>,<12.482318 | 43.684223>,<-69.307320 | -40.943474>,<158.825684 | 158.825684>,<-0.206017 | -0.206017>,<158.465515 | 158.465515>,<-0.041499 | -0.041499>,<-62.823166 | -62.823166>,<-157.997482 | -157.997482>,<-83.426926 | -83.426926>,<-159.603455 | -159.603455>,<13.202404 | 30.315369>,<-36.992207 | -8.327385>,<3.105232 | 10.816528>,<-45.426994 | -19.774824>,31.822392,64.969765,69.890335,62.874073
6,8.000000,257.839996,473.078247,137.143692,52.049194,59.273224,60.435169,54.552147,79.918381,79.916336,79.971146,79.766457,30.065741,32.327774,30.318789,30.009296,<20.925610 | 53.116909>,<-49.430367 | -27.735367>,<15.137357 | 46.518101>,<-74.670395 | -47.935181>,<159.652847 | 159.652847>,<-0.230889 | -0.230889>,<158.465515 | 158.465515>,<-0.041499 | -0.041499>,<-92.590851 | -92.590851>,<-157.997482 | -157.997482>,<-96.322800 | -96.322800>,<-159.603455 | -159.603455>,<22.257282 | 29.178902>,<-34.671288 | -29.462404>,<19.207790 | 37.321060>,<-21.718670 | -16.895914>,40.398853,73.514679,43.963547,73.689232
7,4.000000,280.950012,638.500183,16.374546,54.783157,60.320469,62.038803,56.180676,79.918381,79.916336,79.971146,79.766457,30.065741,32.052303,30.318789,30.009296,<19.209137 | 51.918316>,<-48.168156 | -28.647007>,<16.871166 | 41.236820>,<-67.916199 | -44.773575>,<159.652847 | 159.652847>,<-0.230889 | -0.230889>,<148.446274 | 148.446274>,<-0.022759 | -0.022759>,<-129.212555 | -129.212555>,<-157.042664 | -157.042664>,<-70.097565 | -70.097565>,<-159.900360 | -159.900360>,<3.774321 | 21.467623>,<-38.291687 | -8.393797>,<0.694937 | 7.029409>,<-38.867863 | -12.582975>,72.073364,65.318108,77.639923,77.584930
8,5.000000,295.170013,657.670654,8.498726,54.374809,61.546547,61.993690,57.012650,79.918381,79.916336,79.971146,79.766457,30.026953,33.133766,30.318789,30.009296,<22.504623 | 54.457787>,<-49.752865 | -29.142754>,<19.762138 | 43.512123>,<-71.589111 | -49.187729>,<159.652847 | 159.652847>,<-0.230889 | -0.230889>,<148.988068 | 148.988068>,<-0.041499 | -0.041499>,<-83.188812 | -83.188812>,<-157.042664 | -157.042664>,<-60.634621 | -60.634621>,<-159.603455 | -159.603455>,<0.433057 | 19.368898>,<-40.018425 | -9.745680>,<13.635882 | 22.120209>,<-35.168697 | -9.872623>,75.539482,65.828957,71.792320,73.429230
9,5.000000,310.440002,648.233582,133.690506,56.399033,60.743916,62.172417,57.951675,79.971802,79.882492,79.971146,79.121704,30.065741,31.916527,30.318789,30.009296,<18.757675 | 50.048141>,<-48.586113 | -26.518034>,<16.115694 | 40.317101>,<-66.327026 | -46.232315>,<158.713867 | 158.713867>,<-0.156356 | -0.156356>,<148.446274 | 148.446274>,<-0.103415 | -0.103415>,<-72.439919 | -72.439919>,<-157.042664 | -157.042664>,<-83.837128 | -83.837128>,<-159.603455 | -159.603455>,<0.433057 | 19.368898>,<-40.018425 | -9.745680>,<13.635882 | 22.120209>,<-35.168697 | -9.872623>,75.539482,65.828957,71.792320,73.429230
10,4.000000,313.609985,651.308350,170.839050,57.385040,62.133656,63.332077,58.587242,79.971802,79.882492,79.971146,79.121704,30.065741,33.133766,38.834930,30.009296,<13.938229 | 48.188065>,<-48.949203 | -26.009365>,<15.058727 | 39.490242>,<-63.243759 | -40.385117>,<158.713867 | 158.713867>,<-0.740380 | -0.740380>,<148.446274 | 148.446274>,<-0.002762 | -0.002762>,<-123.916985 | -123.916985>,<-157.042664 | -157.042664>,<-100.166969 | -100.166969>,<-159.603455 | -159.603455>,<3.774321 | 21.467623>,<-38.291687 | -8.393797>,<0.694937 | 7.029409>,<-38.867863 | -12.582975>,72.073364,65.318108,77.639923,77.584930
11,5.000000,331.109985,658.873230,78.284477,58.745350,62.084240,62.724506,59.472466,79.975037,79.882492,79.971146,79.687706,30.065741,30.507843,38.834930,30.009296,<7.094591 | 46.017380>,<-58.211952 | -30.456017>,<16.770849 | 41.878796>,<-62.326973 | -38.262577>,<151.793686 | 151.793686>,<-0.495999 | -0.495999>,<148.446274 | 148.446274>,<-0.002762 | -0.002762>,<-142.913788 | -142.913788>,<-157.042664 | -157.042664>,<-134.939682 | -134.939682>,<-159.603455 | -159.603455>,<3.774321 | 21.467623>,<-38.291687 | -8.393797>,<0.694937 | 7.029409>,<-38.867863 | -12.582975>,72.073364,65.318108,77.639923,77.584930
