Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,100,0.200000,0.010000,Roulette,One point
,,,,Roulette sections,100,
,,,,Tournament members,2,
,,,,,,
1,60.000004,137.110001,550.103638,101.555130,53.485889,55.871693,56.337578,56.133862,78.443161,79.270782,79.988281,79.961021,30.244209,30.193375,30.425671,30.065054,<-22.235510 | 51.377201>,<-69.120575 | -36.944077>,<-19.573261 | 50.601246>,<-68.513329 | -34.824203>,<159.200531 | 159.200531>,<-0.416767 | -0.416767>,<158.733643 | 158.733643>,<-0.647659 | -0.647659>,<-155.573853 | -155.573853>,<-154.567230 | -154.567230>,<-145.330246 | -145.330246>,<-159.406921 | -159.406921>
2,46.000000,167.679993,577.548706,99.070740,51.824112,55.914444,56.081295,54.980644,78.443161,79.270782,79.988281,79.429214,30.244209,30.864265,30.633266,30.065054,<-14.594544 | 48.429649>,<-66.519516 | -34.845699>,<-14.221127 | 46.401367>,<-66.427444 | -33.421951>,<159.200531 | 159.200531>,<-0.416767 | -0.416767>,<157.388702 | 157.388702>,<-0.647659 | -0.647659>,<-144.075058 | -144.075058>,<-154.567230 | -154.567230>,<-142.876862 | -142.876862>,<-159.406921 | -159.406921>
3,29.000000,207.539993,579.533081,80.986366,52.561455,55.411343,54.825775,54.715530,78.219711,79.270782,79.600708,79.429214,30.244209,30.864265,30.633266,30.065054,<-5.829507 | 37.920589>,<-58.131500 | -31.197319>,<-3.086349 | 40.666840>,<-63.108013 | -32.421566>,<159.200531 | 159.200531>,<-0.416767 | -0.416767>,<139.312134 | 139.312134>,<-0.647659 | -0.647659>,<-98.650360 | -98.650360>,<-154.567230 | -154.567230>,<-113.724808 | -113.724808>,<-154.561661 | -154.561661>
4,11.000000,252.679993,535.015747,82.728813,53.646107,54.727856,55.134903,54.582672,78.219711,79.270782,79.600708,79.429214,30.244209,30.864265,30.680548,30.065054,<-2.429978 | 34.335873>,<-50.828281 | -29.925617>,<2.335754 | 35.792187>,<-58.633915 | -31.086836>,<159.200531 | 159.200531>,<-0.610622 | -0.610622>,<139.312134 | 139.312134>,<-0.647659 | -0.647659>,<-87.017830 | -87.017830>,<-154.567230 | -154.567230>,<-74.508049 | -74.508049>,<-154.561661 | -154.561661>
5,4.000000,276.000000,578.203430,89.712791,53.118351,55.477875,56.372944,54.179161,78.219711,79.270782,79.600708,79.429214,30.244209,30.864265,33.411549,30.065054,<3.756429 | 33.309818>,<-46.451462 | -27.792658>,<3.211064 | 33.594788>,<-58.032681 | -27.103252>,<159.200531 | 159.200531>,<-0.610622 | -0.610622>,<139.312134 | 139.312134>,<-0.647659 | -0.647659>,<-87.017830 | -87.017830>,<-139.674713 | -139.674713>,<-74.508049 | -74.508049>,<-154.561661 | -154.561661>
6,2.000000,298.260010,633.980591,78.557686,53.375381,55.908043,57.101639,53.246075,78.219711,79.270782,78.838188,79.429214,30.244209,30.864265,33.411549,30.065054,<7.575330 | 32.706055>,<-45.213814 | -27.744696>,<4.821557 | 34.415951>,<-56.897099 | -29.074478>,<159.200531 | 159.200531>,<-0.818844 | -0.818844>,<139.312134 | 139.312134>,<-0.647659 | -0.647659>,<-40.714600 | -40.714600>,<-139.674713 | -139.674713>,<-30.588911 | -30.588911>,<-154.561661 | -154.561661>
7,0.000000,313.559998,524.374634,120.520187,54.772930,56.787769,57.644077,52.618080,78.219711,79.270782,78.838188,78.210106,32.262573,30.864265,33.411549,30.065054,<8.445361 | 31.367474>,<-42.490108 | -24.459351>,<2.660422 | 30.686102>,<-53.821091 | -29.134686>,<159.200531 | 159.200531>,<-3.533672 | -3.533672>,<139.312134 | 139.312134>,<-0.647659 | -0.647659>,<-31.921883 | -31.921883>,<-139.674713 | -139.674713>,<-30.588911 | -30.588911>,<-148.294266 | -148.294266>
8,0.000000,328.880005,560.872009,160.428726,56.024834,57.364468,57.668087,53.121841,78.219711,78.546631,78.838188,78.210106,32.262573,30.864265,33.411549,30.065054,<8.747163 | 31.439386>,<-42.408512 | -25.291071>,<4.746259 | 31.431929>,<-51.396263 | -29.084967>,<159.200531 | 159.200531>,<-3.533672 | -3.533672>,<133.792847 | 133.792847>,<-0.647659 | -0.647659>,<-31.921883 | -31.921883>,<-138.539413 | -138.539413>,<-27.684662 | -27.684662>,<-148.294266 | -148.294266>
9,0.000000,364.600006,635.986694,157.256775,56.552792,59.186821,57.344765,53.300331,78.219711,78.546631,78.838188,78.210106,32.262573,30.864265,33.411549,30.065054,<4.787356 | 26.726032>,<-37.733410 | -20.403946>,<6.186680 | 29.129017>,<-49.554935 | -30.298986>,<143.565430 | 143.565430>,<-3.533672 | -3.533672>,<133.792847 | 133.792847>,<-0.647659 | -0.647659>,<-31.921883 | -31.921883>,<-138.539413 | -138.539413>,<-27.684662 | -27.684662>,<-126.549515 | -126.549515>
10,1.000000,371.820007,701.442871,180.381927,55.429268,60.486362,56.637241,53.750229,78.183105,78.546631,78.838188,78.210106,32.262573,36.889206,33.411549,34.456699,<3.902979 | 27.157906>,<-37.138512 | -19.802605>,<3.540812 | 26.357483>,<-46.009541 | -26.973885>,<143.565430 | 143.565430>,<-3.533672 | -3.533672>,<126.638428 | 126.638428>,<-0.647659 | -0.647659>,<-87.434265 | -87.434265>,<-138.539413 | -138.539413>,<-140.451065 | -140.451065>,<-133.709061 | -133.709061>
11,2.000000,387.609985,715.711975,187.048462,54.581444,62.260586,55.398121,53.967705,78.333908,78.546631,78.838188,78.210106,32.262573,36.889206,33.411549,34.456699,<2.085204 | 25.160450>,<-36.499863 | -18.202536>,<3.124154 | 23.291553>,<-42.267200 | -24.249544>,<143.565430 | 143.565430>,<-3.533672 | -3.533672>,<112.630951 | 112.630951>,<-0.647659 | -0.647659>,<-39.678650 | -39.678650>,<-138.539413 | -138.539413>,<-73.404068 | -73.404068>,<-118.724030 | -118.724030>
12,1.000000,395.730011,675.235657,156.284348,53.624722,62.805099,55.425636,53.431717,78.183105,78.546631,78.838188,78.210106,32.262573,36.889206,33.411549,34.456699,<0.662797 | 24.763422>,<-34.944515 | -15.906681>,<1.628163 | 20.469124>,<-38.591618 | -20.226963>,<143.565430 | 143.565430>,<-0.086838 | -0.086838>,<112.630951 | 112.630951>,<-0.647659 | -0.647659>,<-59.229355 | -59.229355>,<-138.539413 | -138.539413>,<-152.016525 | -152.016525>,<-118.724030 | -118.724030>
13,0.000000,402.570007,687.302795,142.666321,52.465054,64.169975,54.992455,52.102230,78.183105,78.546631,78.838188,78.210106,32.262573,36.889206,33.411549,34.456699,<1.053513 | 24.285442>,<-34.138851 | -15.821007>,<3.528351 | 19.019026>,<-36.041859 | -18.689972>,<143.565430 | 143.565430>,<-3.533672 | -3.533672>,<112.630951 | 112.630951>,<-0.647659 | -0.647659>,<-27.113207 | -27.113207>,<-138.539413 | -138.539413>,<-27.684662 | -27.684662>,<-118.724030 | -118.724030>
