Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
100,30,200,0.200000,0.010000,Tournament,Heuristic
,,,,Tournament members,100,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation,Best gene hip1 rotation,Best gene knee1 rotation,Best gene hip2 rotation,Best gene knee2 rotation,Best gene hip1 velocity,Best gene knee1 velocity,Best gene hip2 velocity,Best gene knee2 velocity
1,58.999996,130.500000,530.120056,139.987534,53.598907,55.675205,54.093349,53.566254,79.897614,79.423645,78.867920,79.832283,30.105045,30.968359,30.075333,30.296072,<-27.223415 | 58.104301>,<-76.135521 | -40.803333>,<-29.659885 | 60.267910>,<-73.782036 | -40.568302>,<159.496643 | 159.496643>,<-0.000580 | -0.000580>,<158.756378 | 158.756378>,<-0.440311 | -0.440311>,<-151.740280 | -151.740280>,<-158.330750 | -158.330750>,<-156.139282 | -156.139282>,<-159.139877 | -159.139877>,<1.191792 | 5.201412>,<-17.798496 | -5.003296>,<3.631775 | 19.673977>,<-45.036182 | -22.544765>,56.006256,65.299774,63.458672,47.473125
2,47.000000,149.800003,514.005310,0.272316,53.816330,56.048824,54.063046,55.624680,79.897614,79.863258,79.485260,79.832283,30.105045,31.200962,30.075333,30.296072,<-26.127697 | 53.840832>,<-69.131989 | -38.743881>,<-21.432617 | 55.644829>,<-67.115440 | -35.317307>,<159.715790 | 159.715790>,<-0.000580 | -0.000580>,<158.756378 | 158.756378>,<-0.053376 | -0.053376>,<-151.740280 | -151.740280>,<-158.330750 | -158.330750>,<-156.139282 | -156.139282>,<-159.139877 | -159.139877>,<1.191792 | 5.201412>,<-17.798496 | -5.003296>,<3.631775 | 19.673977>,<-45.036182 | -22.544765>,56.006256,65.299774,63.458672,47.473125
3,38.000000,172.130005,519.936768,25.105000,54.213135,55.772640,53.883190,55.227257,79.704094,79.684937,79.485260,79.832283,30.105045,31.200962,30.075333,30.296072,<-9.198704 | 52.746479>,<-63.370762 | -38.112560>,<-14.289097 | 48.928219>,<-60.511295 | -34.803925>,<159.715790 | 159.715790>,<-0.045707 | -0.045707>,<158.756378 | 158.756378>,<-0.440311 | -0.440311>,<-151.740280 | -151.740280>,<-158.330750 | -158.330750>,<-156.078873 | -156.078873>,<-154.393387 | -154.393387>,<-5.348224 | 33.806858>,<-14.180076 | -0.585478>,<0.771780 | 8.371572>,<-6.416464 | -1.315118>,32.895397,68.151421,63.935410,62.463528
4,25.000000,208.509995,506.104065,26.058094,55.203194,56.562569,54.674419,55.463158,79.704094,79.684937,79.485260,79.832283,30.105045,31.200962,30.075333,30.296072,<-2.145262 | 49.208302>,<-57.063953 | -33.559013>,<-3.179845 | 45.064770>,<-53.255093 | -33.490482>,<159.307159 | 159.307159>,<-0.045707 | -0.045707>,<153.407074 | 153.407074>,<-0.440311 | -0.440311>,<-151.740280 | -151.740280>,<-158.330750 | -158.330750>,<-156.078873 | -156.078873>,<-149.236664 | -149.236664>,<1.191792 | 5.201412>,<-17.798496 | -5.003296>,<3.631775 | 19.673977>,<-45.036182 | -22.544765>,56.006256,65.299774,63.458672,47.473125
5,17.000000,229.850006,514.077393,102.240814,57.179741,56.946938,56.332176,55.557648,79.544647,79.282692,79.485260,79.832283,30.233423,31.200962,30.321211,30.296072,<5.695598 | 41.331348>,<-50.133610 | -26.923620>,<-0.430160 | 45.664047>,<-49.852386 | -29.363201>,<159.307159 | 159.307159>,<-0.045707 | -0.045707>,<159.142639 | 159.142639>,<-0.068371 | -0.068371>,<-66.370621 | -66.370621>,<-155.166672 | -155.166672>,<-147.341293 | -147.341293>,<-153.276810 | -153.276810>,<1.191792 | 5.201412>,<-17.798496 | -5.003296>,<3.631775 | 19.673977>,<-45.036182 | -22.544765>,56.006256,65.299774,63.458672,47.473125
6,12.000000,258.350006,706.017334,45.946995,58.247284,57.387398,58.088802,57.081791,79.513702,79.282692,79.968445,79.961853,30.233423,31.200962,30.321211,30.296072,<7.026622 | 39.533276>,<-48.776875 | -26.187071>,<4.320868 | 43.484207>,<-51.321278 | -30.537148>,<159.307159 | 159.307159>,<-0.017313 | -0.017313>,<159.142639 | 159.142639>,<-0.347986 | -0.347986>,<-99.822502 | -99.822502>,<-155.166672 | -155.166672>,<-59.807980 | -59.807980>,<-153.428604 | -153.428604>,<14.683975 | 18.482857>,<-19.596178 | -7.583271>,<5.689762 | 19.335209>,<-42.298012 | -23.146044>,67.313538,67.258804,76.193687,79.739815
7,10.000000,275.619995,661.374268,0.251526,57.715298,57.413662,58.682438,57.954662,79.513702,79.959534,79.968445,79.832283,30.306326,31.200962,30.321211,30.419979,<3.138737 | 39.211185>,<-46.540237 | -27.049780>,<5.438587 | 39.100296>,<-47.485764 | -28.303825>,<156.945221 | 156.945221>,<-0.016537 | -0.016537>,<159.142639 | 159.142639>,<-0.033685 | -0.033685>,<-134.558243 | -134.558243>,<-156.295670 | -156.295670>,<-89.622673 | -89.622673>,<-145.849808 | -145.849808>,<14.683975 | 18.482857>,<-19.596178 | -7.583271>,<5.689762 | 19.335209>,<-42.298012 | -23.146044>,67.313538,67.258804,76.193687,79.739815
8,6.000000,293.899994,636.088135,166.143921,56.659313,61.479053,57.910622,58.598801,79.860703,79.959534,79.968445,79.832283,30.645157,31.306511,30.321211,30.419979,<2.439793 | 31.703018>,<-47.200706 | -28.355816>,<0.269959 | 39.905323>,<-44.793514 | -27.665150>,<156.945221 | 156.945221>,<-0.016537 | -0.016537>,<159.406708 | 159.406708>,<-0.033685 | -0.033685>,<-51.370987 | -51.370987>,<-155.166672 | -155.166672>,<-64.361404 | -64.361404>,<-154.366028 | -154.366028>,<14.683975 | 18.482857>,<-19.596178 | -7.583271>,<5.689762 | 19.335209>,<-42.298012 | -23.146044>,67.313538,67.258804,76.193687,79.739815
9,4.000000,313.049988,666.020813,127.212509,58.477882,61.306679,57.108231,59.131435,79.860703,79.959534,79.968445,79.832283,30.645157,31.211758,30.321211,30.419979,<4.989974 | 33.610977>,<-49.244381 | -28.824724>,<1.992211 | 39.508038>,<-44.972691 | -28.516701>,<156.945221 | 156.945221>,<-0.038682 | -0.038682>,<150.637375 | 150.637375>,<-0.185019 | -0.185019>,<-111.022644 | -111.022644>,<-155.166672 | -155.166672>,<-87.594803 | -87.594803>,<-154.366028 | -154.366028>,<14.683975 | 18.482857>,<-19.596178 | -7.583271>,<5.689762 | 19.335209>,<-42.298012 | -23.146044>,67.313538,67.258804,76.193687,79.739815
10,8.000000,311.179993,632.479309,99.561859,60.513763,61.264214,58.338306,58.961464,79.860703,79.959534,79.968445,79.832283,30.645157,31.306511,30.321211,30.419979,<2.053415 | 31.800787>,<-48.041508 | -28.324108>,<1.460909 | 36.232716>,<-43.059216 | -27.268599>,<156.945221 | 156.945221>,<-0.038682 | -0.038682>,<150.637375 | 150.637375>,<-0.064320 | -0.064320>,<-96.992676 | -96.992676>,<-155.166672 | -155.166672>,<-93.892876 | -93.892876>,<-154.366028 | -154.366028>,<14.683975 | 18.482857>,<-19.596178 | -7.583271>,<5.689762 | 19.335209>,<-42.298012 | -23.146044>,67.313538,67.258804,76.193687,79.739815
11,2.000000,336.609985,647.738098,126.123650,61.611534,61.879513,59.159882,59.151566,79.860703,79.959534,79.987503,79.832283,30.645157,31.518578,30.321211,30.419979,<4.887421 | 30.479221>,<-52.277534 | -30.252773>,<5.372031 | 39.756393>,<-45.243095 | -28.572248>,<130.199722 | 130.199722>,<-0.038682 | -0.038682>,<153.460083 | 153.460083>,<-0.047108 | -0.047108>,<-51.939919 | -51.939919>,<-156.787064 | -156.787064>,<-57.393311 | -57.393311>,<-154.366028 | -154.366028>,<14.683975 | 18.482857>,<-19.596178 | -7.583271>,<5.689762 | 19.335209>,<-42.298012 | -23.146044>,67.313538,67.258804,76.193687,79.739815
12,5.000000,349.959991,641.946594,98.823280,61.893471,63.955090,59.335793,59.271709,79.907135,79.959534,79.987503,79.892220,30.722635,31.518578,30.321211,30.419979,<4.819509 | 28.759434>,<-49.626484 | -28.330940>,<0.177109 | 34.579655>,<-45.098343 | -29.194029>,<130.199722 | 130.199722>,<-0.038682 | -0.038682>,<150.637375 | 150.637375>,<-0.047108 | -0.047108>,<-86.921829 | -86.921829>,<-155.166672 | -155.166672>,<-60.128407 | -60.128407>,<-154.366028 | -154.366028>,<14.683975 | 18.482857>,<-19.596178 | -7.583271>,<5.689762 | 19.335209>,<-42.298012 | -23.146044>,67.313538,67.258804,76.193687,79.739815
13,3.000000,348.190002,716.725342,1.224266,62.224834,64.684311,60.056835,59.116806,79.907135,79.959534,79.987503,79.953430,31.556774,31.518578,30.339844,30.419979,<0.532213 | 26.955505>,<-43.094227 | -23.916695>,<-1.010657 | 31.988415>,<-44.512863 | -26.868633>,<130.199722 | 130.199722>,<-0.038682 | -0.038682>,<150.637375 | 150.637375>,<-0.064320 | -0.064320>,<-115.034340 | -115.034340>,<-145.306290 | -145.306290>,<-93.322113 | -93.322113>,<-154.366028 | -154.366028>,<11.337390 | 12.119951>,<-12.275046 | -2.454841>,<17.862389 | 22.131359>,<-37.655201 | -9.203662>,78.873642,77.926910,67.996101,45.342022
14,1.000000,369.859985,651.798401,65.007538,63.282936,66.584724,60.186390,59.327496,79.907135,79.959534,79.987503,79.892220,31.556774,31.518578,30.339844,30.060518,<3.913677 | 25.369961>,<-44.392368 | -24.768362>,<0.013034 | 31.803484>,<-43.627865 | -26.091921>,<99.501907 | 99.501907>,<-0.038682 | -0.038682>,<155.434296 | 155.434296>,<-0.001903 | -0.001903>,<-51.939919 | -51.939919>,<-150.255814 | -150.255814>,<-68.116554 | -68.116554>,<-154.366028 | -154.366028>,<14.683975 | 18.482857>,<-19.596178 | -7.583271>,<5.689762 | 19.335209>,<-42.298012 | -23.146044>,67.313538,67.258804,76.193687,79.739815
15,1.000000,382.679993,691.046387,142.327438,64.498650,65.998474,62.319260,59.503716,79.907135,79.959534,79.987503,79.892220,31.556774,31.518578,30.339844,30.419979,<3.938973 | 23.275457>,<-43.133244 | -22.885767>,<-0.500984 | 29.880997>,<-43.196781 | -26.064791>,<58.524796 | 58.524796>,<-0.038682 | -0.038682>,<155.434296 | 155.434296>,<-0.064320 | -0.064320>,<-51.939919 | -51.939919>,<-150.255814 | -150.255814>,<-68.116554 | -68.116554>,<-133.078049 | -133.078049>,<11.337390 | 12.119951>,<-12.275046 | -2.454841>,<17.862389 | 22.131359>,<-37.655201 | -9.203662>,78.873642,77.926910,67.996101,45.342022
16,3.000000,388.570007,633.555420,0.719635,66.211922,66.174553,62.763847,61.317249,79.907135,79.959534,79.987503,79.892220,32.524918,31.518578,31.074833,30.419979,<3.934541 | 24.036749>,<-39.072296 | -19.054995>,<-0.565355 | 28.322508>,<-42.400249 | -24.416803>,<93.679001 | 93.679001>,<-0.093400 | -0.093400>,<155.434296 | 155.434296>,<-0.064320 | -0.064320>,<-51.939919 | -51.939919>,<-150.255814 | -150.255814>,<-83.858803 | -83.858803>,<-133.078049 | -133.078049>,<14.683975 | 18.482857>,<-19.596178 | -7.583271>,<5.689762 | 19.335209>,<-42.298012 | -23.146044>,67.313538,67.258804,76.193687,79.739815
17,4.000000,391.899994,671.729370,195.565033,65.641510,67.248665,63.512772,63.437496,79.823029,79.959534,79.987503,79.987785,32.524918,31.602076,30.022484,30.419979,<5.786713 | 25.292458>,<-38.106812 | -18.245827>,<-0.786115 | 28.707981>,<-41.532623 | -22.798687>,<80.253922 | 80.253922>,<-0.031069 | -0.031069>,<155.434296 | 155.434296>,<-0.025143 | -0.025143>,<-46.378738 | -46.378738>,<-150.255814 | -150.255814>,<-92.732826 | -92.732826>,<-133.078049 | -133.078049>,<9.920912 | 15.010267>,<-5.630139 | -0.999689>,<4.941435 | 9.243054>,<-53.847893 | -15.433548>,75.762215,72.306015,44.798737,75.051201
18,1.000000,418.549988,764.839172,136.421082,65.724838,67.934669,64.289322,63.434208,79.823029,79.966858,79.994240,79.892220,32.524918,31.602076,30.022484,30.419979,<6.708442 | 25.042950>,<-37.365570 | -17.236895>,<-0.904140 | 30.780684>,<-42.878349 | -24.020605>,<74.855110 | 74.855110>,<-0.031069 | -0.031069>,<155.434296 | 155.434296>,<-0.104132 | -0.104132>,<-46.378738 | -46.378738>,<-150.255814 | -150.255814>,<-92.732826 | -92.732826>,<-133.078049 | -133.078049>,<19.727028 | 20.103493>,<-13.000256 | -4.042060>,<19.221127 | 24.422491>,<-24.483110 | -4.841158>,77.129234,68.380287,72.666260,72.417976
19,2.000000,420.980011,713.687134,0.085197,65.289680,68.411491,64.211670,63.205791,79.967583,79.959534,79.987503,79.892220,32.524918,31.602076,30.348785,30.368160,<6.987036 | 26.176189>,<-33.709629 | -14.486366>,<1.779094 | 26.088791>,<-41.168846 | -21.384983>,<99.395966 | 99.395966>,<-0.031069 | -0.031069>,<109.343765 | 109.343765>,<-0.125654 | -0.125654>,<-46.378738 | -46.378738>,<-112.278473 | -112.278473>,<-68.116554 | -68.116554>,<-127.348587 | -127.348587>,<10.069869 | 10.528176>,<-8.641588 | -0.371263>,<17.306019 | 17.549635>,<-34.205956 | -2.618727>,78.019966,72.505760,73.771210,42.297016
20,2.000000,429.779999,770.195374,157.955643,65.576607,69.001846,63.202396,62.118587,79.967583,79.959534,79.987503,79.950478,32.524918,32.666183,30.348785,30.419979,<5.355266 | 27.252426>,<-34.740223 | -16.774982>,<2.334888 | 28.269995>,<-42.178558 | -22.243834>,<128.619263 | 128.619263>,<-0.054917 | -0.054917>,<135.204742 | 135.204742>,<-0.125654 | -0.125654>,<-46.378738 | -46.378738>,<-136.236115 | -136.236115>,<-68.116554 | -68.116554>,<-133.351395 | -133.351395>,<24.296898 | 29.933208>,<-6.488611 | -0.849402>,<15.055732 | 20.472126>,<-33.172386 | -9.830025>,70.303551,77.825417,69.085190,79.950478
21,3.000000,454.799988,835.916809,178.907867,66.872612,69.991547,63.818218,63.494785,79.967583,79.959534,79.987503,79.950478,32.524918,35.467976,30.348785,32.187790,<6.321973 | 26.366035>,<-29.337593 | -13.312761>,<2.975592 | 27.059982>,<-40.880116 | -19.602430>,<99.395966 | 99.395966>,<-0.054917 | -0.054917>,<135.204742 | 135.204742>,<-0.048252 | -0.048252>,<-96.875526 | -96.875526>,<-136.236115 | -136.236115>,<-85.918884 | -85.918884>,<-133.351395 | -133.351395>,<24.600452 | 29.607109>,<-3.514945 | -0.913368>,<14.966035 | 19.064966>,<-14.865494 | -8.429276>,77.818886,53.361519,69.745499,77.869141
22,4.000000,453.899994,760.386536,117.454552,67.737175,69.941063,65.476631,63.875893,79.967583,79.959534,79.987503,79.950478,32.524918,39.603779,30.348785,32.187790,<8.403195 | 25.569586>,<-26.059210 | -9.670348>,<7.926172 | 25.066286>,<-38.165573 | -17.355644>,<74.855110 | 74.855110>,<-0.029433 | -0.029433>,<73.903389 | 73.903389>,<-0.125654 | -0.125654>,<-35.384621 | -35.384621>,<-110.026001 | -110.026001>,<-68.116554 | -68.116554>,<-80.297554 | -80.297554>,<19.727028 | 20.103493>,<-13.000256 | -4.042060>,<19.221127 | 24.422491>,<-24.483110 | -4.841158>,77.129234,68.380287,72.666260,72.417976
23,2.000000,474.079987,733.811096,241.194656,69.011543,70.300026,65.470070,63.190483,79.967583,79.971321,79.987503,79.980690,32.524918,30.798706,30.348785,32.187790,<7.057907 | 27.207756>,<-25.978498 | -8.652510>,<8.058074 | 24.843843>,<-42.834503 | -18.385292>,<156.744446 | 156.744446>,<-0.029433 | -0.029433>,<71.842239 | 71.842239>,<-0.105976 | -0.105976>,<-50.599007 | -50.599007>,<-110.026001 | -110.026001>,<-68.116554 | -68.116554>,<-100.728378 | -100.728378>,<6.772198 | 12.992749>,<-12.253803 | -3.083873>,<11.686172 | 19.376511>,<-34.812904 | -8.213753>,79.967583,61.683254,66.991646,57.328953
