Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
50,20,50,0.200000,0.075000,Tournament,Average
,,,,,,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation
12,2.000000,117.320000,197.254791,20.993732,43.041004,42.181976,48.752892,44.121017,78.872437,79.480591,79.629517,79.471680,1.724794,2.009457,0.827362,2.390327,<-11.692242 | 58.058750>,<-83.233368 | -42.537941>,<-22.294323 | 62.709591>,<-82.094704 | -42.270561>,<151.323883 | 151.323883>,<-0.680767 | -0.680767>,<159.203003 | 159.203003>,<-2.086071 | -2.086071>,<-133.279633 | -133.279633>,<-158.793427 | -158.793427>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
13,2.000000,119.099998,200.048233,22.803623,41.725815,41.062050,45.165993,44.406895,78.872437,79.480591,79.629517,77.593384,1.724794,1.560520,1.740410,2.912586,<-9.992124 | 55.998756>,<-82.487373 | -38.163654>,<-16.391241 | 64.494011>,<-80.091164 | -43.451218>,<151.323883 | 151.323883>,<-0.680767 | -0.680767>,<159.203003 | 159.203003>,<-2.086071 | -2.086071>,<-133.279633 | -133.279633>,<-158.793427 | -158.793427>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
14,0.000000,122.360001,205.971558,32.660248,43.551117,44.938965,42.217342,42.289356,78.872437,79.480591,79.629517,77.593384,0.413162,3.441048,1.675957,2.912586,<-9.409816 | 56.946644>,<-84.494629 | -39.794643>,<-16.531221 | 65.461082>,<-82.124519 | -43.848866>,<151.323883 | 151.323883>,<-0.680767 | -0.680767>,<159.203003 | 159.203003>,<-2.086071 | -2.086071>,<-133.279633 | -133.279633>,<-158.793427 | -158.793427>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
15,2.000000,126.720001,209.750839,25.000584,43.508923,45.213455,45.564396,43.315659,78.872437,78.742004,79.629517,77.593384,0.413162,3.108126,3.235655,2.912586,<-5.040543 | 55.315331>,<-82.173836 | -40.793991>,<-18.152498 | 56.449875>,<-77.010368 | -39.623920>,<151.600586 | 151.600586>,<-0.680767 | -0.680767>,<140.680206 | 140.680206>,<-2.086071 | -2.086071>,<-133.279633 | -133.279633>,<-158.793427 | -158.793427>,<-154.198776 | -154.198776>,<-153.486252 | -153.486252>
16,6.000000,126.900002,213.778290,12.737815,43.871910,45.177784,48.413185,47.110283,79.775940,78.742004,79.629517,77.593384,0.778790,2.038162,3.235655,0.316364,<-14.211613 | 59.131840>,<-79.173851 | -36.262138>,<-13.994055 | 54.451260>,<-71.396805 | -35.053013>,<151.600586 | 151.600586>,<-0.680767 | -0.680767>,<129.501312 | 129.501312>,<-2.086071 | -2.086071>,<-158.033157 | -158.033157>,<-158.793427 | -158.793427>,<-154.198776 | -154.198776>,<-153.486252 | -153.486252>
17,2.000000,127.720001,212.862259,13.421594,40.079967,49.132675,43.785324,44.382065,78.872437,78.742004,79.629517,77.593384,0.778790,2.145061,1.976017,0.649872,<-6.707012 | 53.112595>,<-75.593079 | -37.617237>,<-20.135115 | 45.026249>,<-66.848557 | -33.823509>,<140.029419 | 140.029419>,<-0.680767 | -0.680767>,<126.864471 | 126.864471>,<-1.232574 | -1.232574>,<-157.378372 | -157.378372>,<-158.793427 | -158.793427>,<-159.187515 | -159.187515>,<-152.051880 | -152.051880>
18,4.000000,129.259995,207.863098,13.550272,39.417931,48.894493,44.858715,44.495644,78.872437,78.742004,79.629517,77.593384,1.584002,0.395878,3.235655,2.912586,<-10.390382 | 55.238052>,<-72.463562 | -37.311005>,<-18.910988 | 44.115841>,<-66.237000 | -33.582447>,<148.505676 | 148.505676>,<-0.680767 | -0.680767>,<126.864471 | 126.864471>,<-1.232574 | -1.232574>,<-148.784531 | -148.784531>,<-158.793427 | -158.793427>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
19,2.000000,126.019997,210.093185,28.449623,37.674179,47.404072,44.013027,46.335117,78.872437,78.742004,79.629517,77.593384,1.584002,4.655941,2.953671,1.183720,<-13.714655 | 52.972519>,<-70.397751 | -39.408615>,<-19.931791 | 42.074600>,<-68.696053 | -35.307888>,<140.029419 | 140.029419>,<-0.680767 | -0.680767>,<126.864471 | 126.864471>,<-1.232574 | -1.232574>,<-148.784531 | -148.784531>,<-158.793427 | -158.793427>,<-158.196350 | -158.196350>,<-152.051880 | -152.051880>
20,2.000000,129.759995,209.510895,20.959560,39.732559,45.488277,44.842319,43.287086,78.872437,78.742004,79.629517,77.593384,1.584002,0.628853,0.763786,1.183720,<-11.465525 | 48.438358>,<-68.073761 | -36.237957>,<-18.272758 | 40.575817>,<-64.932541 | -32.007668>,<140.029419 | 140.029419>,<-0.680767 | -0.680767>,<126.864471 | 126.864471>,<-1.232574 | -1.232574>,<-148.784531 | -148.784531>,<-158.793427 | -158.793427>,<-154.198776 | -154.198776>,<-152.051880 | -152.051880>
21,0.000000,129.740005,211.025070,37.795044,40.588425,43.310760,45.035763,43.260094,78.872437,78.742004,79.629517,77.593384,1.584002,1.304459,2.951559,2.912586,<-12.628945 | 47.856354>,<-63.702740 | -32.806278>,<-13.259276 | 40.009029>,<-61.085968 | -32.493305>,<140.029419 | 140.029419>,<-0.680767 | -0.680767>,<144.018341 | 144.018341>,<-1.232574 | -1.232574>,<-133.279633 | -133.279633>,<-158.793427 | -158.793427>,<-96.604889 | -96.604889>,<-151.182007 | -151.182007>
