Population size,Life span (sec),Max generations,New genes probability,Mutation rate,Selection function,Crossover operator
10,10,50,0.200000,0.010000,Roulette,One point
,,,,,,
,,,,,,
Generation,Death percentage,Average fitness,Top fitness,Min fitness,Average hip1 velocity,Average knee1 velocity,Average hip2 velocity,Average knee2 velocity,Top hip1 velocity,Top knee1 velocity,Top hip2 velocity,Top knee2 velocity,Min hip1 velocity,Min knee1 velocity,Min hip2 velocity,Min knee2 velocity,Average hip1 rotation,Average knee1 rotation,Average hip2 rotation,Average knee2 rotation,Top hip1 rotation,Top knee1 rotation,Top hip2 rotation,Top knee2 rotation,Min hip1 rotation,Min knee1 rotation,Min hip2 rotation,Min knee2 rotation
12,0.000000,110.000000,116.786629,102.411926,57.524597,67.831062,60.836487,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,55.789185,54.931152,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
13,0.000000,109.000000,113.756500,97.565750,57.524597,71.845016,62.804939,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,55.789185,54.931152,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
14,0.000000,108.000000,108.528656,108.528656,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
15,0.000000,113.000000,113.186470,113.186470,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
16,0.000000,113.000000,113.281837,113.281837,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
17,0.000000,113.000000,113.466324,113.466324,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
18,0.000000,115.000000,115.436424,115.436424,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
19,0.000000,110.000000,110.764061,110.764061,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
20,0.000000,111.000000,111.127785,111.127785,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
21,0.000000,110.000000,110.756042,110.756042,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
22,0.000000,111.000000,111.234955,111.234955,57.524597,75.858986,64.773384,53.198387,57.524597,75.858978,64.773384,53.198383,57.524597,75.858978,64.773384,53.198383,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-24.462648 | -1.893044>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-24.462648 | -24.462648>
23,10.000000,101.000000,112.424309,8.414283,56.614979,71.671021,65.927406,52.172005,57.524597,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,42.934517,<15.277292 | 33.587181>,<-50.726246 | -37.185921>,<3.870164 | 39.420364>,<-25.055958 | -3.939117>,<120.441589 | 120.441589>,<-12.916229 | -12.916229>,<130.864075 | 130.864075>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-81.873482 | -81.873482>,<-102.438889 | -102.438889>,<-30.395737 | -30.395737>
24,10.000000,102.000000,113.268211,7.797400,56.614979,71.671021,65.927406,52.172005,57.524597,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,42.934517,<15.277292 | 33.587181>,<-50.726246 | -37.185921>,<3.870164 | 39.420364>,<-25.055958 | -3.939117>,<120.441589 | 120.441589>,<-12.916229 | -12.916229>,<130.864075 | 130.864075>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-81.873482 | -81.873482>,<-102.438889 | -102.438889>,<-30.395737 | -30.395737>
25,10.000000,100.000000,117.843399,8.031266,54.367012,68.237389,65.795143,50.468952,57.524597,75.858978,76.313614,53.198383,35.044891,33.979401,63.450714,36.167904,<17.509193 | 37.299461>,<-55.609875 | -38.203945>,<4.247716 | 46.963360>,<-29.659504 | -6.209296>,<120.441589 | 120.441589>,<-12.916229 | -12.916229>,<130.864075 | 130.864075>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-96.101738 | -96.101738>,<-102.438889 | -102.438889>,<-70.498093 | -70.498093>
26,10.000000,94.000000,109.565498,7.993542,54.367012,68.237389,65.795143,50.468952,57.524597,75.858978,76.313614,53.198383,35.044891,33.979401,63.450714,36.167904,<17.509193 | 37.299461>,<-55.609875 | -38.203945>,<4.247716 | 46.963360>,<-29.659504 | -6.209296>,<120.441589 | 120.441589>,<-12.916229 | -12.916229>,<130.864075 | 130.864075>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-96.101738 | -96.101738>,<-102.438889 | -102.438889>,<-70.498093 | -70.498093>
27,10.000000,92.000000,111.281357,7.531137,53.457390,64.049423,66.949158,49.442562,57.524597,75.858978,76.313614,53.198383,35.044891,33.979401,63.450714,36.167904,<17.509193 | 37.299461>,<-55.609875 | -38.203945>,<4.247716 | 46.963360>,<-29.659504 | -6.209296>,<120.441589 | 120.441589>,<-12.916229 | -12.916229>,<130.864075 | 130.864075>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-96.101738 | -96.101738>,<-102.438889 | -102.438889>,<-70.498093 | -70.498093>
28,10.000000,96.000000,113.655273,8.084821,54.795738,63.295094,68.235451,50.119225,57.524597,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,42.934517,<15.277292 | 33.587181>,<-50.726246 | -37.185921>,<3.870164 | 39.420364>,<-25.649267 | -5.985190>,<120.441589 | 120.441589>,<-12.916229 | -12.916229>,<130.864075 | 130.864075>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-81.873482 | -81.873482>,<-102.438889 | -102.438889>,<-30.395737 | -30.395737>
29,0.000000,101.000000,112.322960,76.579193,54.795738,63.295094,68.235451,50.119225,57.524597,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,42.934517,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-25.649267 | -5.985190>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-30.395737 | -30.395737>
30,0.000000,107.000000,110.859535,82.565071,56.614979,71.671021,65.927406,52.172005,57.524597,75.858978,76.313614,53.198383,48.428413,33.979401,64.773384,42.934517,<5.561405 | 23.936689>,<-47.265442 | -39.882557>,<15.682281 | 29.259953>,<-25.055958 | -3.939117>,<23.936687 | 23.936687>,<-39.882553 | -39.882553>,<29.259956 | 29.259956>,<-1.893044 | -1.893044>,<5.561405 | 5.561405>,<-47.265442 | -47.265442>,<15.682281 | 15.682281>,<-30.395737 | -30.395737>
